authors_review,authors_links,author_stats
Dougal J. Sutherland;Hsiao-Yu Tung;Heiko Strathmann;Soumyajit De;Aaditya Ramdas;Alex Smola;Arthur Gretton,"['https://www.semanticscholar.org/author/Dougal-J.-Sutherland/36326783', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Heiko-Strathmann/1679743', 'https://www.semanticscholar.org/author/Soumyajit-De/25740168', 'https://www.semanticscholar.org/author/Aaditya-Ramdas/2556942', 'https://www.semanticscholar.org/author/Alexander-J.-Smola/1691629', 'https://www.semanticscholar.org/author/Arthur-Gretton/1708497']","[{'Publications': '36', 'h-index': '14', 'Citations': '734', 'Highly Influential Citations': '100'}, {'Publications': '25', 'h-index': '8', 'Citations': '445', 'Highly Influential Citations': '44'}, {'Publications': '25', 'h-index': '13', 'Citations': '739', 'Highly Influential Citations': '139'}, {'Publications': '2', 'h-index': '1', 'Citations': '104', 'Highly Influential Citations': '12'}, {'Publications': '104', 'h-index': '19', 'Citations': '1,268', 'Highly Influential Citations': '135'}, {'Publications': '389', 'h-index': '99', 'Citations': '64,889', 'Highly Influential Citations': '9,073'}, {'Publications': '216', 'h-index': '48', 'Citations': '12,995', 'Highly Influential Citations': '2,223'}]"
Sanjeev Arora;Yingyu Liang;Tengyu Ma,"['https://www.semanticscholar.org/author/Sanjeev-Arora/145563465', 'https://www.semanticscholar.org/author/Yingyu-Liang/40609253', 'https://www.semanticscholar.org/author/Tengyu-Ma/1901958']","[{'Publications': '349', 'h-index': '61', 'Citations': '16,100', 'Highly Influential Citations': '1,798'}, {'Publications': '81', 'h-index': '25', 'Citations': '2,835', 'Highly Influential Citations': '422'}, {'Publications': '87', 'h-index': '32', 'Citations': '3,902', 'Highly Influential Citations': '503'}]"
Dan Hendrycks;Kevin Gimpel,"['https://www.semanticscholar.org/author/Dan-Hendrycks/3422872', 'https://www.semanticscholar.org/author/Kevin-Gimpel/1700980']","[{'Publications': '27', 'h-index': '14', 'Citations': '1,493', 'Highly Influential Citations': '280'}, {'Publications': '99', 'h-index': '31', 'Citations': '5,710', 'Highly Influential Citations': '821'}]"
Tri Nguyen;Mir Rosenberg;Xia Song;Jianfeng Gao;Saurabh Tiwary;Rangan Majumder;Li Deng,"['https://www.semanticscholar.org/author/Tri-Nguyen/145662791', 'https://www.semanticscholar.org/author/Mir-Rosenberg/40319105', 'https://www.semanticscholar.org/author/Xia-Song/50706785', 'https://www.semanticscholar.org/author/Jianfeng-Gao/1800422', 'https://www.semanticscholar.org/author/Saurabh-Tiwary/40070335', 'https://www.semanticscholar.org/author/Rangan-Majumder/32431940', 'https://www.semanticscholar.org/author/Li-Deng/144718788']","[{'Publications': '67', 'h-index': '10', 'Citations': '656', 'Highly Influential Citations': '105'}, {'Publications': '4', 'h-index': '3', 'Citations': '436', 'Highly Influential Citations': '90'}, {'Publications': '41', 'h-index': '6', 'Citations': '595', 'Highly Influential Citations': '101'}, {'Publications': '353', 'h-index': '61', 'Citations': '18,692', 'Highly Influential Citations': '2,662'}, {'Publications': '14', 'h-index': '5', 'Citations': '504', 'Highly Influential Citations': '97'}, {'Publications': '2', 'h-index': '2', 'Citations': '431', 'Highly Influential Citations': '90'}, {'Publications': '409', 'h-index': '63', 'Citations': '21,150', 'Highly Influential Citations': '1,883'}]"
Jörn-Henrik Jacobsen;Bert De Brabandere;Arnold W.M. Smeulders,"['https://www.semanticscholar.org/author/J%C3%B6rn-Henrik-Jacobsen/51919565', 'https://www.semanticscholar.org/author/Bert-De-Brabandere/3384995', 'https://www.semanticscholar.org/author/Arnold-W.-M.-Smeulders/144638781']","[{'Publications': '19', 'h-index': '9', 'Citations': '408', 'Highly Influential Citations': '37'}, {'Publications': '15', 'h-index': '11', 'Citations': '812', 'Highly Influential Citations': '112'}, {'Publications': '469', 'h-index': '50', 'Citations': '22,187', 'Highly Influential Citations': '1,926'}]"
Xingyi Li;Fuxin Li;Xiaoli Fern;Raviv Raich,"['https://www.semanticscholar.org/author/Xingyi-Li/47057584', 'https://www.semanticscholar.org/author/Fuxin-Li/3141988', 'https://www.semanticscholar.org/author/Xiaoli-Z.-Fern/1694273', 'https://www.semanticscholar.org/author/Raviv-Raich/1911921']","[{'Publications': '24', 'h-index': '4', 'Citations': '70', 'Highly Influential Citations': '2'}, {'Publications': '83', 'h-index': '24', 'Citations': '2,378', 'Highly Influential Citations': '317'}, {'Publications': '125', 'h-index': '26', 'Citations': '2,772', 'Highly Influential Citations': '300'}, {'Publications': '157', 'h-index': '24', 'Citations': '2,258', 'Highly Influential Citations': '186'}]"
Beilun Wang;Ji Gao;Yanjun Qi,"['https://www.semanticscholar.org/author/Beilun-Wang/3407212', 'https://www.semanticscholar.org/author/Ji-Gao/144029129', 'https://www.semanticscholar.org/author/Yanjun-Qi/1791105']","[{'Publications': '22', 'h-index': '5', 'Citations': '159', 'Highly Influential Citations': '11'}, {'Publications': '179', 'h-index': '12', 'Citations': '810', 'Highly Influential Citations': '67'}, {'Publications': '114', 'h-index': '26', 'Citations': '3,128', 'Highly Influential Citations': '265'}]"
Minmin Chen,['https://www.semanticscholar.org/author/Minmin-Chen/1743082'],"[{'Publications': '44', 'h-index': '18', 'Citations': '1,873', 'Highly Influential Citations': '292'}]"
Takeru Miyato;Andrew M. Dai;Ian Goodfellow,"['https://www.semanticscholar.org/author/Takeru-Miyato/3213400', 'https://www.semanticscholar.org/author/Andrew-M.-Dai/2555924', 'https://www.semanticscholar.org/author/Ian-J.-Goodfellow/153440022']","[{'Publications': '17', 'h-index': '10', 'Citations': '2,795', 'Highly Influential Citations': '583'}, {'Publications': '50', 'h-index': '19', 'Citations': '3,771', 'Highly Influential Citations': '468'}, {'Publications': '90', 'h-index': '56', 'Citations': '56,046', 'Highly Influential Citations': '9,400'}]"
Barret Zoph;Quoc Le,"['https://www.semanticscholar.org/author/Barret-Zoph/2368067', 'https://www.semanticscholar.org/author/Quoc-V.-Le/2827616']","[{'Publications': '30', 'h-index': '21', 'Citations': '7,052', 'Highly Influential Citations': '1,304'}, {'Publications': '193', 'h-index': '81', 'Citations': '48,299', 'Highly Influential Citations': '6,043'}]"
