authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Dougal-J.-Sutherland/36326783', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Heiko-Strathmann/1679743', 'https://www.semanticscholar.org/author/Soumyajit-De/25740168', 'https://www.semanticscholar.org/author/Aaditya-Ramdas/2556942', 'https://www.semanticscholar.org/author/Alexander-J.-Smola/1691629', 'https://www.semanticscholar.org/author/Arthur-Gretton/1708497']",734;445;739;104;1268;64889;12995,36;25;25;2;104;389;216,14;8;13;1;19;99;48,100;44;139;12;135;9073;2223
"['https://www.semanticscholar.org/author/Sanjeev-Arora/145563465', 'https://www.semanticscholar.org/author/Yingyu-Liang/40609253', 'https://www.semanticscholar.org/author/Tengyu-Ma/1901958']",16100;2835;3902,349;81;87,61;25;32,1798;422;503
"['https://www.semanticscholar.org/author/Dan-Hendrycks/3422872', 'https://www.semanticscholar.org/author/Kevin-Gimpel/1700980']",1493;5710,27;99,14;31,280;821
"['https://www.semanticscholar.org/author/Tri-Nguyen/145662791', 'https://www.semanticscholar.org/author/Mir-Rosenberg/40319105', 'https://www.semanticscholar.org/author/Xia-Song/50706785', 'https://www.semanticscholar.org/author/Jianfeng-Gao/1800422', 'https://www.semanticscholar.org/author/Saurabh-Tiwary/40070335', 'https://www.semanticscholar.org/author/Rangan-Majumder/32431940', 'https://www.semanticscholar.org/author/Li-Deng/144718788']",656;436;595;18692;504;431;21150,67;4;41;353;14;2;409,10;3;6;61;5;2;63,105;90;101;2662;97;90;1883
"['https://www.semanticscholar.org/author/J%C3%B6rn-Henrik-Jacobsen/51919565', 'https://www.semanticscholar.org/author/Bert-De-Brabandere/3384995', 'https://www.semanticscholar.org/author/Arnold-W.-M.-Smeulders/144638781']",408;812;22187,19;15;469,9;11;50,37;112;1926
"['https://www.semanticscholar.org/author/Xingyi-Li/47057584', 'https://www.semanticscholar.org/author/Fuxin-Li/3141988', 'https://www.semanticscholar.org/author/Xiaoli-Z.-Fern/1694273', 'https://www.semanticscholar.org/author/Raviv-Raich/1911921']",70;2378;2772;2258,24;83;125;157,4;24;26;24,2;317;300;186
"['https://www.semanticscholar.org/author/Beilun-Wang/3407212', 'https://www.semanticscholar.org/author/Ji-Gao/144029129', 'https://www.semanticscholar.org/author/Yanjun-Qi/1791105']",159;810;3128,22;179;114,5;12;26,11;67;265
['https://www.semanticscholar.org/author/Minmin-Chen/1743082'],1873,44,18,292
"['https://www.semanticscholar.org/author/Takeru-Miyato/3213400', 'https://www.semanticscholar.org/author/Andrew-M.-Dai/2555924', 'https://www.semanticscholar.org/author/Ian-J.-Goodfellow/153440022']",2795;3771;56046,17;50;90,10;19;56,583;468;9400
"['https://www.semanticscholar.org/author/Barret-Zoph/2368067', 'https://www.semanticscholar.org/author/Quoc-V.-Le/2827616']",7052;48299,30;193,21;81,1304;6043
"['https://www.semanticscholar.org/author/Ruben-Villegas/144543406', 'https://www.semanticscholar.org/author/Jimei-Yang/1768964', 'https://www.semanticscholar.org/author/Seunghoon-Hong/2241528', 'https://www.semanticscholar.org/author/Xunyu-Lin/10668384', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141']",957;5443;2680;406;24193,21;74;25;5;166,10;35;15;3;61,132;850;263;76;2826
"['https://www.semanticscholar.org/author/Gabriel-Loaiza-Ganem/1417035074', 'https://www.semanticscholar.org/author/Yuanjun-Gao/3378078', 'https://www.semanticscholar.org/author/John-P.-Cunningham/2575774']",33;604;4953,5;14;99,3;6;29,0;48;425
"['https://www.semanticscholar.org/author/Irina-Higgins/39051054', 'https://www.semanticscholar.org/author/Lo%C3%AFc-Matthey/2367480', 'https://www.semanticscholar.org/author/Arka-Pal/3422676', 'https://www.semanticscholar.org/author/Christopher-Burgess/143641906', 'https://www.semanticscholar.org/author/Xavier-Glorot/3119801', 'https://www.semanticscholar.org/author/Matthew-M-Botvinick/46378362', 'https://www.semanticscholar.org/author/Shakir-Mohamed/14594344', 'https://www.semanticscholar.org/author/Alexander-Lerchner/2289726']",2002;1818;1787;1500;17982;13623;6973;2115,25;13;11;64;25;146;51;23,11;12;10;9;16;45;27;15,298;274;274;240;1310;1414;1010;321
