year,paper,paper_links,paper_data
2017,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,['https://www.semanticscholar.org/paper/Generative-Models-and-Model-Criticism-via-Optimized-Sutherland-Tung/d772a21f2f687985b41bec2dc47bc2760c57ed2f'],"[{'Citations': '109', 'Highly Influenced Papers': '12', 'Cite Methods': '52', 'Cite Background': '44', 'Cite Results': '1'}]"
2017,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,['https://www.semanticscholar.org/paper/A-Simple-but-Tough-to-Beat-Baseline-for-Sentence-Arora-Liang/3f1802d3f4f5f6d66875dac09112f978f12e1e1e'],"[{'Citations': '582', 'Highly Influenced Papers': '112', 'Cite Methods': '295', 'Cite Background': '241', 'Cite Results': '21'}]"
2017,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,['https://www.semanticscholar.org/paper/A-Baseline-for-Detecting-Misclassified-and-Examples-Hendrycks-Gimpel/6ff2a434578ff2746b9283e45abf296887f48a2d'],"[{'Citations': '387', 'Highly Influenced Papers': '98', 'Cite Background': '218', 'Cite Methods': '194', 'Cite Results': '14'}]"
2017,MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,['https://www.semanticscholar.org/paper/MS-MARCO%3A-A-Human-Generated-MAchine-Reading-Dataset-Campos-Nguyen/a69cf45d44a9d806d2487a1ffb9eca71ee73c2ee'],"[{'Citations': '438', 'Highly Influenced Papers': '92', 'Cite Background': '232', 'Cite Methods': '163', 'Cite Results': '10'}]"
2017,Dynamic Steerable Frame Networks,"['https://www.semanticscholar.org/paper/Dynamic-Steerable-Frame-Networks-Jacobsen-Brabandere/be368d10c632531400b85a526ece0d4787d577b7', https://www.semanticscholar.org/paper/Dynamic-Steerable-Blocks-in-Deep-Residual-Networks-Jacobsen-Brabandere/8e0af269946b0e696a353'29c6f775f6371abb66b]'",[{'Citations': '22'}]
2017,FILTER SHAPING FOR CONVOLUTIONAL NEURAL NETWORKS,['https://www.semanticscholar.org/paper/Filter-shaping-for-Convolutional-Neural-Networks-Li-Li/0ef8ba551c025747333382bb627f305b540543dc'],"[{'Citations': '10', 'Highly Influenced Papers': '2', 'Cite Background': '8', 'Cite Methods': '3'}]"
2017, A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,['https://www.semanticscholar.org/paper/A-Theoretical-Framework-for-Robustness-of-(Deep)-Wang-Gao/3d8b23e18d74eef633ce03ef73d7df588245a698'],"[{'Citations': '28', 'Highly Influenced Papers': '3', 'Cite Background': '20', 'Cite Methods': '3'}]"
2017,Efficient Vector Representation for Documents through Corruption,['https://www.semanticscholar.org/paper/Efficient-Vector-Representation-for-Documents-Chen/67b60c720e9691c0d98dbd0b9004e99e6da3fc47'],"[{'Citations': '68', 'Highly Influenced Papers': '17', 'Cite Background': '32', 'Cite Methods': '31', 'Cite Results': '5', 'Twitter Mentions': '11'}]"
2017,Adversarial Training Methods for Semi-Supervised Text Classification,"['https://www.semanticscholar.org/paper/Adversarial-Training-Methods-for-Semi-Supervised-Miyato-Dai/2cd55ded95d5d13430edfa223ba591b514ebe8a5', 'https://www.semanticscholar.org/paper/Virtual-Adversarial-Training-for-Semi-Supervised-Miyato-Dai/93d8d45fe8101545ae6d9fab3dbb38f904ff7b4e']","[{'Citations': '232', 'Highly Influenced Papers': '44', 'Cite Background': '114', 'Cite Methods': '96', 'Cite Results': '10'}, {'Citations': '57', 'Highly Influenced Papers': '9', 'Cite Background': '31', 'Cite Methods': '27', 'Cite Results': '5'}]"
2017,Neural Architecture Search with Reinforcement Learning,['https://www.semanticscholar.org/paper/Neural-Architecture-Search-with-Reinforcement-Zoph-Le/67d968c7450878190e45ac7886746de867bf673d'],"[{'Citations': '1,668', 'Highly Influenced Papers': '243', 'Cite Background': '807', 'Cite Methods': '704', 'Cite Results': '26'}]"
