year,title,citations,cite_background,cite_methods,cite_results,twitter_mentions,highly_influenced_papers
2017,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,109,44,52,1,0,12
2017,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,582,241,295,21,0,112
2017,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,387,218,194,14,0,98
2017,MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,438,232,163,10,0,92
2017,Dynamic Steerable Frame Networks,22,0,0,0,0,0
2017,FILTER SHAPING FOR CONVOLUTIONAL NEURAL NETWORKS,10,8,3,0,0,2
2017, A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,28,20,3,0,0,3
2017,Efficient Vector Representation for Documents through Corruption,68,32,31,5,11,17
2017,Adversarial Training Methods for Semi-Supervised Text Classification,289,145,123,15,0,53
2017,Neural Architecture Search with Reinforcement Learning,1668,807,704,26,0,243
2017,Decomposing Motion and Content for Natural Video Sequence Prediction,235,130,111,14,8,57
2017,Maximum Entropy Flow Networks,20,9,5,0,0,0
2017,beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,1160,723,438,44,0,214
2017,Soft Weight-Sharing for Neural Network Compression,190,87,73,6,38,26
2017,Support Regularized Sparse Coding and Its Fast Encoder,1,1,1,0,0,1
2017,Stochastic Neural Networks for Hierarchical Reinforcement Learning,152,103,38,2,20,17
2017,Combining policy gradient and Q-learning,141,57,49,4,22,14
2017,Recurrent Environment Simulators,100,64,30,3,145,7
2017,Multi-Agent Cooperation and the Emergence of (Natural) Language,172,123,23,9,0,10
2017,Stick-Breaking Variational Autoencoders,78,31,33,1,10,14
2017,Sigma Delta Quantized Networks,13,5,5,0,0,0
2017,Semi-supervised deep learning by metric embedding,20,11,10,0,2,2
2017,Adversarial Feature Learning,792,439,266,36,0,137
2017,Learning Visual Servoing with Deep Features and Fitted Q-Iteration,39,12,14,0,9,0
2017,Learning End-to-End Goal-Oriented Dialog,452,285,110,16,630,71
2017,Learning Graphical State Transitions,62,23,19,0,0,4
2017,Revisiting Classifier Two-Sample Tests,101,43,45,2,8,12
2017,Mollifying Networks,25,15,4,0,0,4
2017,Introspection:Accelerating Neural Network Training By Learning Weight Evolution,9,5,2,1,0,1
2017,Neural Program Lattices,20,15,3,0,0,3
2017,Highway and Residual Networks learn Unrolled Iterative Estimation,111,63,16,6,45,9
2017,Hadamard Product for Low-rank Bilinear Pooling,-1,-1,-1,-1,-1,-1
2017,Machine Comprehension Using Match-LSTM and Answer Pointer,373,165,141,7,0,68
2017,Unsupervised Cross-Domain Image Generation,495,268,129,2,18,35
2017,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,245,99,116,9,93,26
2017,Making Neural Programming Architectures Generalize via Recursion,87,59,27,1,20,8
2017,Generative Multi-Adversarial Networks,155,78,40,4,25,14
2017,Variational Recurrent Adversarial Deep Domain Adaptation,27,14,7,0,0,3
2017,Data Noising as Smoothing in Neural Network Language Models,62,28,26,3,0,8
2017,Deep Probabilistic Programming,125,56,51,1,0,13
2017,Hierarchical Multiscale Recurrent Neural Networks,309,145,107,12,129,49
2017,Programming With a Differentiable Forth Interpreter,86,46,15,1,0,10
2017,Learning to Play in a Day: Faster Deep Reinforcement Learning by Optimality Tightening,46,18,19,5,26,7
