year,title,first_appearance_date,papers,authors
2017,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,11/14/2016,['https://www.semanticscholar.org/paper/Generative-Models-and-Model-Criticism-via-Optimized-Sutherland-Tung/d772a21f2f687985b41bec2dc47bc2760c57ed2f'],"['https://www.semanticscholar.org/author/Alexander-J.-Smola/1691629', 'https://www.semanticscholar.org/author/Heiko-Strathmann/1679743', 'https://www.semanticscholar.org/author/Dougal-J.-Sutherland/36326783', 'https://www.semanticscholar.org/author/Aaditya-Ramdas/2556942', 'https://www.semanticscholar.org/author/Soumyajit-De/25740168', 'https://www.semanticscholar.org/author/Arthur-Gretton/1708497', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704']"
2017,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,4/24/2017,['https://www.semanticscholar.org/paper/A-Simple-but-Tough-to-Beat-Baseline-for-Sentence-Arora-Liang/3f1802d3f4f5f6d66875dac09112f978f12e1e1e'],"['https://www.semanticscholar.org/author/Tengyu-Ma/1901958', 'https://www.semanticscholar.org/author/Yingyu-Liang/40609253', 'https://www.semanticscholar.org/author/Sanjeev-Arora/145563465']"
2017,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,10/7/2016,['https://www.semanticscholar.org/paper/A-Baseline-for-Detecting-Misclassified-and-Examples-Hendrycks-Gimpel/6ff2a434578ff2746b9283e45abf296887f48a2d'],"['https://www.semanticscholar.org/author/Kevin-Gimpel/1700980', 'https://www.semanticscholar.org/author/Dan-Hendrycks/3422872']"
2017,MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,11/28/2016,['https://www.semanticscholar.org/paper/MS-MARCO%3A-A-Human-Generated-MAchine-Reading-Dataset-Campos-Nguyen/a69cf45d44a9d806d2487a1ffb9eca71ee73c2ee'],"['https://www.semanticscholar.org/author/Xia-Song/50706785', 'https://www.semanticscholar.org/author/Mir-Rosenberg/40319105', 'https://www.semanticscholar.org/author/Li-Deng/144718788', 'https://www.semanticscholar.org/author/Tri-Nguyen/145662791', 'https://www.semanticscholar.org/author/Saurabh-Tiwary/40070335', 'https://www.semanticscholar.org/author/Jianfeng-Gao/1800422', 'https://www.semanticscholar.org/author/Rangan-Majumder/32431940']"
2017,Dynamic Steerable Frame Networks,4/24/2017,['https://www.semanticscholar.org/paper/Dynamic-Steerable-Frame-Networks-Jacobsen-Brabandere/be368d10c632531400b85a526ece0d4787d577b7'],"['https://www.semanticscholar.org/author/J%C3%B6rn-Henrik-Jacobsen/51919565', 'https://www.semanticscholar.org/author/Bert-De-Brabandere/3384995', 'https://www.semanticscholar.org/author/Arnold-W.-M.-Smeulders/144638781']"
2017,FILTER SHAPING FOR CONVOLUTIONAL NEURAL NETWORKS,4/24/2017,['https://www.semanticscholar.org/paper/Filter-shaping-for-Convolutional-Neural-Networks-Li-Li/0ef8ba551c025747333382bb627f305b540543dc'],"['https://www.semanticscholar.org/author/Raviv-Raich/1911921', 'https://www.semanticscholar.org/author/Xingyi-Li/47057584', 'https://www.semanticscholar.org/author/Fuxin-Li/3141988', 'https://www.semanticscholar.org/author/Xiaoli-Z.-Fern/1694273']"
2017, A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,12/1/2016,['https://www.semanticscholar.org/paper/A-Theoretical-Framework-for-Robustness-of-(Deep)-Wang-Gao/3d8b23e18d74eef633ce03ef73d7df588245a698'],"['https://www.semanticscholar.org/author/Beilun-Wang/3407212', 'https://www.semanticscholar.org/author/Yanjun-Qi/1791105', 'https://www.semanticscholar.org/author/Ji-Gao/144029129']"
2017,Efficient Vector Representation for Documents through Corruption,4/24/2017,['https://www.semanticscholar.org/paper/Efficient-Vector-Representation-for-Documents-Chen/67b60c720e9691c0d98dbd0b9004e99e6da3fc47'],['https://www.semanticscholar.org/author/Minmin-Chen/1743082']
2017,Adversarial Training Methods for Semi-Supervised Text Classification,5/25/2016,"['https://www.semanticscholar.org/paper/Adversarial-Training-Methods-for-Semi-Supervised-Miyato-Dai/2cd55ded95d5d13430edfa223ba591b514ebe8a5', 'https://www.semanticscholar.org/paper/Virtual-Adversarial-Training-for-Semi-Supervised-Miyato-Dai/93d8d45fe8101545ae6d9fab3dbb38f904ff7b4e']","['https://www.semanticscholar.org/author/Takeru-Miyato/3213400', 'https://www.semanticscholar.org/author/Ian-J.-Goodfellow/153440022', 'https://www.semanticscholar.org/author/Andrew-M.-Dai/2555924']"
2017,Neural Architecture Search with Reinforcement Learning,11/5/2016,['https://www.semanticscholar.org/paper/Neural-Architecture-Search-with-Reinforcement-Zoph-Le/67d968c7450878190e45ac7886746de867bf673d'],"['https://www.semanticscholar.org/author/Barret-Zoph/2368067', 'https://www.semanticscholar.org/author/Quoc-V.-Le/2827616']"
2017,Decomposing Motion and Content for Natural Video Sequence Prediction,4/24/2017,['https://www.semanticscholar.org/paper/Decomposing-Motion-and-Content-for-Natural-Video-Villegas-Yang/b8375ff50b8a6f1a10dd809129a18df96888ac8b'],"['https://www.semanticscholar.org/author/Seunghoon-Hong/2241528', 'https://www.semanticscholar.org/author/Jimei-Yang/1768964', 'https://www.semanticscholar.org/author/Xunyu-Lin/10668384', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141', 'https://www.semanticscholar.org/author/Ruben-Villegas/144543406']"
2017,Maximum Entropy Flow Networks,1/12/2017,['https://www.semanticscholar.org/paper/Maximum-Entropy-Flow-Networks-Loaiza-Ganem-Gao/b88e7d3ecbc62baaf3959fb62702e68790e2bfa6'],"['https://www.semanticscholar.org/author/John-P.-Cunningham/2575774', 'https://www.semanticscholar.org/author/Yuanjun-Gao/3378078', 'https://www.semanticscholar.org/author/Gabriel-Loaiza-Ganem/1417035074']"
2017,beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,4/24/2017,['https://www.semanticscholar.org/paper/beta-VAE%3A-Learning-Basic-Visual-Concepts-with-a-Higgins-Matthey/a90226c41b79f8b06007609f39f82757073641e2'],"['https://www.semanticscholar.org/author/Alexander-Lerchner/2289726', 'https://www.semanticscholar.org/author/Xavier-Glorot/3119801', 'https://www.semanticscholar.org/author/Shakir-Mohamed/14594344', 'https://www.semanticscholar.org/author/Matthew-M-Botvinick/46378362', 'https://www.semanticscholar.org/author/Arka-Pal/3422676', 'https://www.semanticscholar.org/author/Irina-Higgins/39051054', 'https://www.semanticscholar.org/author/Christopher-Burgess/143641906', 'https://www.semanticscholar.org/author/Lo%C3%AFc-Matthey/2367480']"
2017,Soft Weight-Sharing for Neural Network Compression,2/13/2017,['https://www.semanticscholar.org/paper/Soft-Weight-Sharing-for-Neural-Network-Compression-Ullrich-Meeds/6c018075720da00d81938bec1c1d2cde42f19d7d'],"['https://www.semanticscholar.org/author/Edward-Meeds/2848132', 'https://www.semanticscholar.org/author/Max-Welling/1678311', 'https://www.semanticscholar.org/author/Karen-Ullrich/39677614']"
2017,Support Regularized Sparse Coding and Its Fast Encoder,4/24/2017,"['https://www.semanticscholar.org/paper/Support-Regularized-Sparse-Coding-and-Its-Fast-Yang-Yu/d580cf2cf9493b67d08fa8b2300f3bbc9ed864b7', 'https://www.semanticscholar.org/paper/PARSE-C-ODING-AND-I-TS-F-AST-E-NCODER-Yang-Yu/4a37272cf779184386badd2debca8ed0538a3cdf']","['https://www.semanticscholar.org/author/Jianchao-Yang/1706007', 'https://www.semanticscholar.org/author/Thomas-S.-Huang/1739208', 'https://www.semanticscholar.org/author/Jiahui-Yu/46380478', 'https://www.semanticscholar.org/author/Yingzhen-Yang/2680237', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473']"
2017,Stochastic Neural Networks for Hierarchical Reinforcement Learning,4/10/2017,['https://www.semanticscholar.org/paper/Stochastic-Neural-Networks-for-Hierarchical-Florensa-Duan/3deecaee4ec1a37de3cb10420eaabff067669e17'],"['https://www.semanticscholar.org/author/Carlos-Florensa/10104623', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Yan-Duan/144581158']"
2017,Combining policy gradient and Q-learning,11/5/2016,"[""https://www.semanticscholar.org/paper/PGQ%3A-Combining-policy-gradient-and-Q-learning-O'Donoghue-Munos/c40dd8f235aabe6efbb93c59c0536adf491f9ead"", ""https://www.semanticscholar.org/paper/Combining-policy-gradient-and-Q-learning-O'Donoghue-Munos/5592edb72f1b0dea936ff8baa5ce81fd136b6f59""]","[""https://www.semanticscholar.org/author/Brendan-O'Donoghue/1389654226"", 'https://www.semanticscholar.org/author/R%C3%A9mi-Munos/118538000', 'https://www.semanticscholar.org/author/Volodymyr-Mnih/3255983', 'https://www.semanticscholar.org/author/Koray-Kavukcuoglu/2645384']"
