year,institution,csranking,ranking
2017,California Institute of Technology,129,2
2017,Birkbeck,230,251
2017,Medical University of Graz,462,452
2017,Aalto University,161,228
2017,Intel,-1,-1
2017,University of Waterloo,25,174
2017,Swiss Federal Institute of Technology Lausanne,25,30
2017,University of Oxford,50,1
2017,Ghent University,462,118
2017,Huazhong University of Science and Technology,462,493
2017,"University of California, Los Angeles",20,14
2017,Element AI,-1,-1
2017,KAIST,23,88
2017,Brown University,61,51
2017,"University of North Carolina, Charlotte",73,981
2017,DigitalGenius Ltd.,-1,-1
2017,University of Florida,129,135
2017,Toyota Technological Institute at Chicago,-1,-1
2017,South China University of Technology,462,613
2017,The University of Tokyo,50,39
2017,The Hong Kong University of Science and Technology,39,48
2017,Université Nice Côte d'Azur,462,491
2017,TUSIMPLE LLC,-1,-1
2017,TU Berlin,105,82
2017,Twitter,-1,-1
2017,"University of Massachusetts, Amherst",25,166
2017,KU Leuven,105,40
2017,Beihang University,129,981
2017,Moscow Institute of Physics and Technology,462,313
2017,University of Arizona,161,156
2017,Chinese Academy of Sciences,67,981
2017,"University of California, Irvine",36,99
2017,Rice University,80,87
2017,University of British Columbia,34,36
2017,UMass,25,166
2017,Korea Advanced Institute of Science and Technology,462,88
2017,Software Competence Center Hagenberg GmbH,-1,-1
2017,Georgia Institute of Technology,12,33
2017,University of Amsterdam,161,63
2017,Queen Mary University London,275,113
2017,Johannes Kepler University Linz,462,498
2017,ENSTA ParisTech,-1,-1
2017,"Indian Institute of Science Bangalore., Indian institute of science, Bangalore",461,247
2017,Aylien,-1,-1
2017,York University,161,316
2017,UC Santa Barbara,39,48
2017,chubu university,462,630
2017,GREYC,-1,-1
2017,Aifounded,-1,-1
2017,Northwestern University,45,20
2017,IDSIA,-1,-1
2017,Siemens Corporate Research,-1,-1
2017,University of California Berkeley,5,10
2017,Tsinghua University,11,35
2017,Autonomous University of Barcelona,462,164
2017,University of Miami,351,183
2017,Oracle,-1,-1
2017,The Hong Kong Polytechnic University,194,192
2017,University of Electronic Science and Technology of China,462,933
2017,Ecole Normale Superieure,94,66
2017,INRIA,-1,-1
2017,Université de Sherbrooke,351,567
2017,Renishaw,-1,-1
2017,Hitachi,-1,-1
2017,NAVER,-1,-1
2017,Seoul National University,50,72
2017,TEKLIA,-1,-1
2017,University of Tampere,462,296
2017,Worcester Polytechnic Institute,194,981
2017,Johns Hopkins University,67,17
2017,Harvey Mudd College,462,981
2017,University of Pittsburgh,78,80
2017,University of Copenhagen,105,120
2017,German Research Center for AI,-1,-1
2017,Austrian Research Institute for Artificial Intelligence,-1,-1
2017,Duke University,42,18
2017,Telefonica Research,-1,-1
2017,"State University of New York, Binghamton",140,394
2017,Ecole polytechnique,462,116
2017,"University of North Carolina, Chapel Hill",73,56
2017,Politecnico di Milano,140,981
2017,ENPC,462,373
2017,Criteo,-1,-1
2017,University of Trento,15,236
2017,Peking University,25,29
2017,Facebook,-1,-1
2017,University of Freiburg,113,95
2017,Heriot-Watt University,275,429
2017,OpenAI,-1,-1
2017,Yonsei University,462,293
2017,SAP,351,257
2017,Boston College,275,212
2017,163,-1,-1
2017,The University of Massachusetts Lowell,194,166
2017,Nankai University,462,905
2017,University of Washington,6,25
2017,University of Southern California,31,60
2017,University of Iceland,462,243
2017,Visual-tagging,-1,-1
2017,IIT Kanpur,140,498
2017,Walmartlabs,-1,-1
2017,"University of Illinois, Urbana-Champaign",4,36
2017,"California State University, Long Beach",462,981
2017,University of California at Merced,462,981
2017,Jagiellonian University,462,625
2017,"University of Illinois, Urbana Champaign",4,36
2017,Basistech,-1,-1
2017,Federal University of Rio de Janeiro - UFRJ,461,693
2017,Bar Ilan University,87,489
2017,"Computer Vision Center, Universitat Autònoma de Barcelona",462,164
2017,Higher School of Economics,462,456
2017,Univeristé Paris-Dauphine,462,981
2017,University of California - Irvine,36,99
2017,babylon health,-1,-1
2017,Hebrew University of Jerusalem,57,186
2017,Baidu,-1,-1
2017,Toronto University,15,22
2017,Victoria University Wellington,275,362
2017,Allen Institute for Artificial Intelligence,-1,-1
2017,Snap Inc.,-1,-1
2017,University of Wroclaw,230,981
2017,Samsung,-1,-1
2017,US Naval Research Laboratory,-1,-1
2017,"Goldsmiths, University of London",461,300
2017,New York University,25,32
2017,Purdue University,25,70
2017,Vanderbilt University,230,108
2017,Pennsylvania State University,39,68
2017,University of Chicago,45,10
2017,CEA,194,765
2017,University College London,45,15
2017,The Chinese University of Hong Kong,61,43
2017,Yandex,-1,-1
2017,CERN,-1,-1
2017,Handong Global University,462,981
2017,German Aerospace Center (DLR),-1,-1
2017,"University of Massachusetts, Boston",351,166
2017,Lawrence Berkeley National Lab,-1,-1
2017,TU Kaiserslautern,140,398
2017,Stanford University,3,3
2017,International Business Machines,-1,-1
2017,NVIDIA,-1,-1
2017,ENS Paris-Saclay,462,475
2017,The University of Adelaide,113,143
2017,University of Valencia,462,541
2017,Vicarious Inc.,-1,-1
2017,"Sentient Technologies, Inc.",-1,-1
