year,institution,csranking,ranking
2017,Indiana University,75,151
2017,Google,-1,-1
2017,University of California at Merced,-1,-1
2017,Carnegie Mellon University,1,23
2017,chubu university,-1,630
2017,Aylien,-1,-1
2017,Microsoft,-1,-1
2017,Vicarious Inc.,-1,-1
2017,"University of Illinois, Urbana Champaign",-1,-1
2017,University of Michigan,8,21
2017,Swiss Federal Institute of Technology Lausanne,-1,-1
2017,Ecole Normale Superieure,94,66
2017,NAVER,-1,-1
2017,University of Washington,6,25
2017,University of Innsbruck,-1,307
2017,SalesForce.com,-1,-1
2017,POSTECH,113,104
2017,Rice University,80,87
2017,University of Guelph,275,398
2017,Huawei Technologies Ltd.,-1,-1
2017,"University of California, Los Angeles",20,14
2017,Polytechnique Montreal,351,-1
2017,Criteo,-1,-1
2017,Linear accelerator Laboratory,-1,-1
2017,TUSIMPLE LLC,-1,-1
2017,Cornell University,7,19
2017,Virginia Tech,80,-1
2017,University of Valencia,-1,541
2017,Toronto University,-1,-1
2017,Basistech,-1,-1
2017,University of Arizona,161,156
2017,"University of Massachusetts, Boston",351,166
2017,"State University of New York, Buffalo",-1,-1
2017,"University of Tennessee, Knoxville",161,-1
2017,National University of Singapore,15,24
2017,Insight Centre for Data Analytics,-1,-1
2017,IDSIA,-1,-1
2017,"University of California, San Diego",9,41
2017,Queen Mary University London,-1,-1
2017,Medical University of Graz,-1,452
2017,Carnegie-Mellon University,1,23
2017,IIT Kanpur,140,-1
2017,National Taiwan University,87,195
2017,LIMSI-CNRS / Université Paris-Sud,-1,-1
2017,Brown University,61,51
2017,TU Berlin,105,-1
2017,Universidad Nacional de Colombia,-1,-1
2017,TU Kaiserslautern,140,-1
2017,Worcester Polytechnic Institute,194,-1
2017,Tsinghua University,11,35
2017,Laval university,-1,265
2017,University of Toronto,15,22
2017,Pacific Northwest National Laboratory,-1,-1
2017,Huazhong University of Science and Technology,-1,493
2017,University of Alberta,94,106
2017,Univeristé Paris-Dauphine,-1,-1
2017,University of Miami,351,183
2017,Austrian Research Institute for Artificial Intelligence,-1,-1
2017,A2iA SAS,-1,-1
2017,University of Virginia,67,123
2017,Loyola Marymount University,-1,-1
2017,Swiss Federal Institute of Technology,-1,-1
2017,University of Pittsburgh,78,80
2017,Software Competence Center Hagenberg GmbH,-1,-1
2017,"Sentient Technologies, Inc.",-1,-1
2017,CNRS university Toulon,-1,-1
2017,University of Wroclaw,230,-1
2017,The Chinese University of Hong Kong,61,43
2017,University College London,45,-1
2017,Autonomous University of Barcelona,-1,164
2017,Ecole polytechnique,-1,116
2017,Tel Aviv University,36,216
2017,"University of California, Irvine",36,99
2017,OpenAI,-1,-1
2017,Adobe Research,-1,-1
2017,Nankai University,-1,905
2017,Massachusetts Institute of Technology,2,5
2017,"University of North Carolina, Charlotte",73,-1
2017,Politecnico di Milano,140,-1
2017,Federal University of Rio de Janeiro - UFRJ,461,693
2017,Yandex,-1,-1
2017,LIP6,-1,-1
2017,Hitachi,-1,-1
2017,INRIA,-1,-1
2017,Boston College,275,212
2017,Chinese Academy of Sciences,67,-1
2017,Qihoo 360 Technology Co. Ltd,-1,-1
2017,ENPC,-1,-1
2017,University of Bari,194,110
2017,Moscow Institute of Physics and Technology,-1,313
2017,Duke University,42,18
2017,Ghent University,-1,118
2017,Korea Advanced Institute of Science and Technology,-1,88
2017,University of Iceland,-1,243
2017,University of Freiburg,113,95
2017,TEKLIA,-1,-1
2017,College of William and Mary,161,-1
2017,University of Cambridge,67,4
2017,University of Oxford,50,1
2017,Telefonica Research,-1,-1
2017,Twitter,-1,-1
2017,University of Copenhagen,105,120
2017,University of California - Irvine,36,99
2017,D-Wave Systems,-1,-1
2017,Dartmouth College,140,82
2017,The University of Massachusetts Lowell,194,166
2017,Oregon State University,75,316
2017,Samsung,-1,-1
2017,Mohakshah,-1,-1
2017,California Institute of Technology,129,2
2017,Heriot-Watt University,275,429
2017,University of Florence,-1,439
2017,Visual-tagging,-1,-1
2017,Mines ParisTech,-1,265
2017,University of British Columbia,34,36
2017,US Naval Research Laboratory,-1,-1
2017,Birkbeck,230,251
2017,Walmartlabs,-1,-1
2017,Université Nice Côte d'Azur,-1,-1
2017,University of Florida,129,135
2017,University of California Berkeley,5,10
2017,UMass,-1,-1
2017,Harvey Mudd College,-1,-1
2017,University of Chicago,45,10
2017,Bosch,-1,433
2017,York University,161,316
2017,Renishaw,-1,-1
2017,NVIDIA,-1,-1
2017,Indian Institute of Technology Madras,-1,472
2017,Northwestern University,45,20
2017,German Aerospace Center (DLR),-1,-1
2017,National Institute of Technology Karnataka,-1,-1
2017,University of Houston,161,365
2017,"University of Colorado, Colorado Springs",-1,-1
2017,Bar Ilan University,87,489
2017,ENS Paris-Saclay,-1,-1
2017,Weizmann Institute,105,-1
2017,Handong Global University,-1,-1
2017,KAIST,23,88
