year,institution,csranking,ranking
2018,Ben-Gurion University of the Negev,181,627
2018,UCL,291,16
2018,Harvard University,37,6
2018,"University of Texas, Dallas",85,239
2018,Norwegian University of Science and Technology,468,289
2018,George Washington University,210,226
2018,Lomonosov Moscow State University,468,193
2018,Yildiz Technical University,468,904
2018,Rutgers University,34,172
2018,"Centre for Integrative Neuroscience, AG Bethge",-1,-1
2018,Aediworks,-1,-1
2018,"Royal Holloway, University of London",181,195
2018,NTT,-1,-1
2018,Xtract AI,-1,-1
2018,Aston University,69,358
2018,Columbia University,15,14
2018,Princeton University,31,7
2018,A*STAR,-1,-1
2018,1qbit,-1,-1
2018,Osaka Prefecture University,468,899
2018,Kyoto University,153,74
2018,SalesForce.com,-1,-1
2018,Imperial College London,74,8
2018,Beijing Jiaotong University,468,854
2018,Beijing Institute of Technology,468,688
2018,INRIA,-1,-1
2018,"Preferred Networks, Inc.",-1,-1
2018,UniversitÃ© Nice CÃ´te d'Azur,468,1103
2018,Jacobs University Bremen,364,1103
2018,Samsung,-1,-1
2018,Technion,24,327
2018,University of Tsukuba,468,1103
2018,DigitalGenius Ltd.,-1,-1
2018,University of Leeds,244,139
2018,Honda Research Institute,-1,-1
2018,National Institute of Informatics,-1,-1
2018,"University of Massachusetts, Amherst",30,191
2018,University of Zurich,139,136
2018,Bilkent University,291,426
2018,360,-1,-1
2018,University of Genoa,468,443
2018,University of Rhode Island,468,1103
2018,Queen Mary University London,244,121
2018,Nokia Bell Labs,-1,-1
2018,Tsinghua University,10,30
2018,Icahn School of Medicine at Mount Sinai,-1,-1
2018,Kyoto Sangyo Universiity,468,1103
2018,126,-1,-1
2018,Toutiao,-1,-1
2018,Ruhr-University Bochum,244,248
2018,"University of Minnesota, Minneapolis",55,56
2018,University of Iowa,153,223
2018,Jet Propulsion Laboratory,-1,-1
2018,Peking University,24,27
2018,University of Trento,17,258
2018,Microsoft Research,-1,-1
2018,University of Exeter,364,130
2018,Thalesgroup,-1,-1
2018,Osaro Inc.,-1,-1
2018,The University of Massachusetts Lowell,210,191
2018,University of Southern California,31,66
2018,Centrale Marseille,-1,-1
2018,University of Notre Dame,124,150
2018,Idiap Research Institute,-1,-1
2018,International Computer Science Institute,-1,-1
2018,Indian Institute of Technology Hyderabad,210,1103
2018,"University of California, Riverside",62,197
2018,University of Bonn,124,100
2018,University of the Basque Country,468,613
2018,A9,-1,-1
2018,"Geneva School of Business Administration, HES-SO University of Applied Sciences of Western Switzerland",468,1103
2018,Indian Institute of Technology Bombay,115,367
2018,Purdue University,28,60
2018,"Ricoh Company, Ltd.",-1,-1
2018,Pennsylvania State University,40,77
2018,"University of California, Davis",78,54
2018,University of Lorraine,468,535
2018,Ulsan National Institute of Science and Technology,468,230
2018,Toyota Central R&D Labs. Inc.,-1,-1
2018,Beijing University of Post and Telecommunication,468,1103
2018,University of Technology Sydney,115,216
2018,McGill University,81,42
2018,Advanced Digital Sciences Center,-1,-1
2018,Raytheon,-1,-1
2018,Lehigh University,244,533
2018,Independent Researcher,-1,-1
2018,Cylance,-1,-1
2018,TU Munich,55,34
2018,Oath,-1,-1
2018,Swiss Federal Institute of Technology,9,10
2018,Singapore Management University,90,1103
2018,University of Kentucky,210,346
2018,Zhihu,-1,-1
2018,Sandia National Laboratories,-1,-1
2018,Naver Labs Europe,-1,-1
2018,Amazon,-1,-1
2018,"State University of New York, Buffalo",85,270
2018,Indiana University,74,117
2018,University of OsnabrÃ¼ck,364,1103
2018,National Chiao Tung University,153,452
2018,Aiperf,-1,-1
2018,University of California-Berkeley,5,18
2018,General Electric,-1,-1
2018,Laval university,468,265
2018,LIP6,-1,-1
2018,University of Bern,364,105
2018,Drexel University,291,392
2018,University of Alberta,99,119
2018,Weizmann Institute,104,1103
2018,YiTu Technology co. ltd,-1,-1
2018,"Heudiasyc, University of Technology of CompiÃ¨gne, UniversitÃ© de technologie de CompiÃ¨gne",468,635
2018,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",62,1103
2018,Renault,-1,-1
2018,Alibaba Group,-1,-1
2018,National University of Singapore,16,22
2018,Massachusetts Institute of Technology,2,5
2018,Syracuse University,244,275
2018,Max-Planck Institute,-1,-1
2018,cwi,210,1103
2018,University of Waterloo,26,207
2018,Swiss Federal Institute of Technology Lausanne,468,38
2018,Element AI,-1,-1
2018,Rensselaer Polytechnic Institute,153,304
2018,The University of Tokyo,52,45
2018,University of Pennsylvania,19,10
2018,QQ.com,-1,-1
2018,Icloud,-1,-1
2018,TU Berlin,104,92
2018,RWTH Aachen University,99,79
2018,Itema,-1,-1
2018,Rice University,85,86
2018,Gravity R&D,-1,-1
2018,Korea Advanced Institute of Science and Technology,21,95
2018,ENSTA ParisTech,468,1103
2018,Ecole Normale SupÃ©rieure de Lyon,181,182
2018,Anthonymeehan,-1,-1
2018,Northwestern University,42,20
2018,ASAPP Inc,-1,-1
2018,"University of Nebraska, Lincoln",244,337
2018,IDSIA,-1,-1
2018,Renishaw,-1,-1
2018,University of Grenoble-Alpes,468,321
2018,Duke University,46,17
2018,Ecole polytechnique,468,115
2018,"Concordia University, Montreal",291,560
2018,"University of North Carolina, Chapel Hill",74,56
2018,North Carolina A&T State University,468,1103
2018,Facebook,-1,-1
2018,Us.panasonic,-1,-1
2018,Graz University of Technology,104,443
2018,"University of Texas, Galveston",468,1103
2018,Tencent AI Lab,-1,-1
2018,"University of Illinois, Chicago",57,255
2018,University of California at Merced,468,1103
2018,Smerity,-1,-1
2018,Hao-li,-1,-1
2018,Higher School of Economics,468,377
2018,Toronto University,17,22
2018,Polytechnic University of Catalonia,244,497
2018,Rochester Institute of Technology,139,666
2018,US Naval Research Laboratory,-1,-1
2018,University of Central Florida,81,1103
