year,institution,csranking,ranking
2020,University of Sydney,86,60
2020,Scuola Normale Superiore,481,152
2020,Itemis AG,-1,-1
2020,INSA de Lyon,481,1397
2020,Eindhoven University of Technology,205,185
2020,Chinese Academy of Sciences,59,1397
2020,General Motors,-1,-1
2020,Moscow Institute of Physics and Technology,481,234
2020,University of Arizona,172,103
2020,Boston University,67,61
2020,Estsoft,-1,-1
2020,Télécom Paris,481,187
2020,Kyung Hee,481,319
2020,Alfréd Rényi Institute of Mathematics,-1,-1
2020,Walmart,-1,-1
2020,"University of California, Irvine",35,96
2020,University of British Columbia,35,34
2020,Goethe University,233,305
2020,CISPA Helmholtz Center for Information Security,143,1397
2020,"Ecole Polytechnique, France",481,93
2020,STATS Perform,-1,-1
2020,Johannes Kepler University Linz,481,620
2020,Radboud University Medical Center,390,128
2020,UiT The Arctic University of Norway,-1,419
2020,Victorzhong,-1,-1
2020,University of California Berkeley,5,13
2020,Ecole Normale Superieure,100,45
2020,Bocconi University,323,1397
2020,Paris Diderot University,481,1397
2020,Alibaba Group and Ant Financial Services Group,-1,-1
2020,Antfin,-1,-1
2020,Megvii Technology Inc.,-1,-1
2020,University of Chinese Academy of Sciences,59,1397
2020,Millenium Instititute for Foundational Research on Data,-1,-1
2020,Africa Nazarene University,481,1397
2020,Johns Hopkins University,73,12
2020,Universitat Politècnica de Catalunya,266,612
2020,Academia Sinica,-1,-1
2020,German Research Center for AI,-1,-1
2020,Hikvision Research Institute,-1,-1
2020,Telefonica Research,-1,-1
2020,Xerox,-1,-1
2020,International Institute of Information Technology Hyderabad,205,713
2020,Pazmany Peter catholic University,481,1397
2020,Xidian University,481,919
2020,Kuaishou,-1,-1
2020,University of Freiburg,118,85
2020,OpenAI,-1,-1
2020,Huan-zhang,-1,-1
2020,National Technical University of Athens,323,776
2020,eBay,-1,-1
2020,"University of Nevada, Reno",266,1397
2020,"Institute for Infocomm Research, A*STAR",-1,-1
2020,Stevens Institute of Technology,154,605
2020,University of Belgrade,481,1397
2020,University of Connecticut,154,393
2020,Sony Europe Ltd.,-1,-1
2020,Walmartlabs,-1,-1
2020,"State University of New York, Albany",266,350
2020,"Jilin University, China",481,952
2020,"University of Illinois, Urbana Champaign",3,48
2020,ITMO University,481,480
2020,Bar Ilan University,95,513
2020,Univeristé Paris-Dauphine,481,1397
2020,University of California - Irvine,35,96
2020,TU Wien Vienna University of Technology,100,360
2020,Vrije Universiteit Brussel,481,235
2020,Baidu,-1,-1
2020,"Department of Computer Science and Engineering, The Chinese University of Hong Kong",59,35
2020,Texas A&M,44,177
2020,Mitsubishi Electric Research Labs,-1,-1
2020,AITRICS,-1,-1
2020,Ronin Institute,-1,-1
2020,MakinaRocks,-1,-1
2020,Queens University,266,258
2020,Snap Inc.,-1,-1
2020,"Nuro, Inc",-1,-1
2020,ETIS,-1,-1
2020,Swisscom,-1,-1
2020,"Computer Science Lab  - Pierre and Marie Curie University, Paris, France",481,1397
2020,Icentia Inc.,-1,-1
2020,Fraunhofer IIS,-1,-1
2020,Saarland University,92,1397
2020,Université Paris-Est,481,1397
2020,University of Tartu,266,319
2020,The Chinese University of Hong Kong,59,35
2020,Hulu LLC.,-1,-1
2020,Karlsruhe Institute of Technology,154,174
2020,University of Ottawa,266,141
2020,Lawrence Berkeley National Lab,-1,-1
2020,Stanford University,4,4
2020,Virginia Commonwealth University,266,1397
2020,Linköping University,481,407
2020,Gmai,-1,-1
2020,USC/ISI,-1,-1
2020,Horizon Robotics,-1,-1
2020,VISA,-1,-1
2020,University of Edinburgh,33,30
2020,Arizona State University,95,155
2020,Vrije Universiteit Amsterdam,172,138
2020,Virginia Tech,79,240
2020,University of Otago,390,218
2020,D-Wave Systems,-1,-1
2020,North Carolina State University,86,310
2020,Borealis AI,-1,-1
2020,Liamcli,-1,-1
2020,Facebook AI Research,-1,-1
2020,University of New Hampshire,266,1397
2020,SUN YAT-SEN UNIVERSITY,481,299
2020,University of Kassel,390,94
2020,Istituto Italiano di Tecnologia,481,1397
2020,Kakao,-1,-1
2020,NEC-Labs,-1,-1
2020,Bytedance,-1,-1
2020,University of Toronto,18,18
2020,Performancegenetics,-1,-1
2020,University of Sheffield,205,117
2020,Centre for Applied Autonomous Sensor Systems,-1,-1
2020,University of Cape Town,390,136
