RefNet: Automatic Essay Scoring by Pairwise Comparison,25 September 2019,['https://www.semanticscholar.org/paper/RefNet%3A-Automatic-Essay-Scoring-by-Pairwise-Li-Zhou/7c522c83b4048ef19b93b2ca48c7ba4d4ea6d2d6'],"['https://www.semanticscholar.org/author/Jinan-Zhou/49640714', 'https://www.semanticscholar.org/author/Jiaxin-Li/145149511']"
Topology of deep neural networks,13 April 2020,['https://www.semanticscholar.org/paper/Topology-of-deep-neural-networks-Naitzat-Zhitnikov/b11b6538b5364901c17d41ef075c4c69094e4564'],"['https://www.semanticscholar.org/author/Andrey-Zhitnikov/14541845', 'https://www.semanticscholar.org/author/Gregory-Naitzat/30745163', 'https://www.semanticscholar.org/author/Lek-Heng-Lim/1784453']"
Provable Convergence and Global Optimality  of Generative Adversarial Network,25 September 2019,['https://www.semanticscholar.org/paper/Provable-Convergence-and-Global-Optimality-of-Cai-Yang/a3bd94fe25d3feb3374ae68497c7bef87be435e2'],"['https://www.semanticscholar.org/author/Zhaoran-Wang/50218397', 'https://www.semanticscholar.org/author/Qi-Liang-Cai/153492304', 'https://www.semanticscholar.org/author/Shaolei-S.-Du/116587905', 'https://www.semanticscholar.org/author/Zhuoran-Yang/150358650', 'https://www.semanticscholar.org/author/Jason-D.-Lee/2421201']"
Improving Irregularly Sampled Time Series Learning with Dense Descriptors of Time,20 March 2020,['https://www.semanticscholar.org/paper/Improving-Irregularly-Sampled-Time-Series-Learning-Sousa-Pereira/922f8ab684fafcfc7537266e45673136281c7d8e'],"['https://www.semanticscholar.org/author/Lucas-Anacretto-Pereira/48219255', 'https://www.semanticscholar.org/author/Anderson-da-Silva-Soares/34716840', 'https://www.semanticscholar.org/author/Rafael-T.-Sousa/8772839']"
Understanding and Training Deep Diagonal Circulant Neural Networks,29 January 2019,['https://www.semanticscholar.org/paper/Understanding-and-Training-Deep-Diagonal-Circulant-Araujo-N%C3%A9grevergne/38dfaa16bfdafe2e95f24dbf0bb3291012a408ce'],"['https://www.semanticscholar.org/author/Jamal-Atif/1773774', 'https://www.semanticscholar.org/author/Yann-Chevaleyre/1705871', 'https://www.semanticscholar.org/author/Benjamin-N%C3%A9grevergne/2511985', 'https://www.semanticscholar.org/author/Alexandre-Araujo/145533439']"
DP-LSSGD: An Optimization Method to Lift the Utility in Privacy-Preserving ERM,25 September 2019,['https://www.semanticscholar.org/paper/DP-LSSGD%3A-An-Optimization-Method-to-Lift-the-in-ERM-Wang-Gu/892b0be7f65c29f580cf4fb74711c3d4e3ce28e9'],"['https://www.semanticscholar.org/author/Bao-Wang/144570116', 'https://www.semanticscholar.org/author/Quanquan-Gu/9937103', 'https://www.semanticscholar.org/author/March-Tian-Boedihardjo/73133034', 'https://www.semanticscholar.org/author/Stanley-Osher/103583159', 'https://www.semanticscholar.org/author/Farzin-Barekat/3337521']"
On Global Feature Pooling for Fine-grained Visual Categorization,25 September 2019,['https://www.semanticscholar.org/paper/On-Global-Feature-Pooling-for-Fine-grained-Visual-Guo-Anderson/42a3395a3f0b3eae4e34db2acbb6cd7be5c65caf'],"['https://www.semanticscholar.org/author/Connor-Anderson/24884535', 'https://www.semanticscholar.org/author/Pei-Xi-Guo/144183195', 'https://www.semanticscholar.org/author/Ryan-Farrell/147900701']"
Quantifying Exposure Bias for Neural Language Generation,25 May 2019,['https://www.semanticscholar.org/paper/Quantifying-Exposure-Bias-for-Neural-Language-He-Zhang/cbb1a1a80d26043867bb8bf2b7227c9139710ee5'],"['https://www.semanticscholar.org/author/Tianxing-He/3083253', 'https://www.semanticscholar.org/author/Zhiming-Zhou/145385776', 'https://www.semanticscholar.org/author/James-F.-Glass/36217631', 'https://www.semanticscholar.org/author/Jingzhao-Zhang/50561307']"
Mix-review: Alleviate Forgetting in the Pretrain-Finetune Framework for Neural Language Generation Models,25 September 2019,['https://www.semanticscholar.org/paper/Mix-review%3A-Alleviate-Forgetting-in-the-Framework-He-Liu/cc16ede128347e0bd0486941680082c2988ddf0e'],"['https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Tianxing-He/3083253', 'https://www.semanticscholar.org/author/James-R.-Glass/145898106', 'https://www.semanticscholar.org/author/Bing-Liu/47655360', 'https://www.semanticscholar.org/author/Jianzhuang-Liu/46700604', 'https://www.semanticscholar.org/author/Kyunghyun-Cho/1979489', 'https://www.semanticscholar.org/author/Fuchun-Peng/1682136']"
INVOCMAP: MAPPING METHOD NAMES TO METHOD INVOCATIONS VIA MACHINE LEARNING,25 September 2019,['https://www.semanticscholar.org/paper/INVOCMAP%3A-MAPPING-METHOD-NAMES-TO-METHOD-VIA-Phan-Jannesari/d9319668430758f65701de4f198c4ad345f09211'],"['https://www.semanticscholar.org/author/Ali-Jannesari/1692563', 'https://www.semanticscholar.org/author/Hung-M.-Phan/144568097']"
Fix-Net: pure fixed-point representation of deep neural networks,25 September 2019,['https://www.semanticscholar.org/paper/Fix-Net%3A-pure-fixed-point-representation-of-deep-Enderich-Timm/36acc5e2b483494958469a3a619df906bcdda994'],"['https://www.semanticscholar.org/author/Lars-Rosenbaum/40138779', 'https://www.semanticscholar.org/author/Fabian-Timm/3001475', 'https://www.semanticscholar.org/author/Wolfram-Burgard/1725973', 'https://www.semanticscholar.org/author/Lukas-Enderich/151088724']"
Random Partition Relaxation for Training Binary and Ternary Weight Neural Network,4 January 2020,['https://www.semanticscholar.org/paper/RPR%3A-Random-Partition-Relaxation-for-Training%3B-and-Cavigelli-Benini/834165039868b0a282cd20596543a8f29b19a5f4'],"['https://www.semanticscholar.org/author/Lukas-Cavigelli/1701257', 'https://www.semanticscholar.org/author/Luca-Benini/1710649']"
Emergent Communication in Networked Multi-Agent Reinforcement Learning,25 September 2019,['https://www.semanticscholar.org/paper/Emergent-Communication-in-Networked-Multi-Agent-Gupta-Hazra/5cf809cbf2e7ab93fe4065fc6f7698c368f02a06'],"['https://www.semanticscholar.org/author/Amebdkar-Dukkipati/1661018164', 'https://www.semanticscholar.org/author/Rishi-Hazra/1399739959', 'https://www.semanticscholar.org/author/Shubham-Gupta/145733816']"
Recognizing Plans by Learning Embeddings from Observed Action Distributions,5 December 2017,['https://www.semanticscholar.org/paper/Recognizing-Plans-by-Learning-Embeddings-from-Zha-Li/0a201f8ff2882a8843aea855603ecabec8043add'],"['https://www.semanticscholar.org/author/Subbarao-Kambhampati/1740315', 'https://www.semanticscholar.org/author/Sriram-Gopalakrishnan/30865023', 'https://www.semanticscholar.org/author/Yikang-Li/2180892', 'https://www.semanticscholar.org/author/Yantian-Zha/8241534', 'https://www.semanticscholar.org/author/Baoxin-Li/2913552']"
Cancer homogeneity in single cell revealed by Bi-state model and Binary matrix factorization,25 September 2019,['https://www.semanticscholar.org/paper/Cancer-homogeneity-in-single-cell-revealed-by-model-Wan-Chang/b5f53013550b718d8ffeaf6b09b01b11a35f9264'],"['https://www.semanticscholar.org/author/Wennan-Chang/47288131', 'https://www.semanticscholar.org/author/Xiao-Wang/92422845', 'https://www.semanticscholar.org/author/Sha-Cao/47897643', 'https://www.semanticscholar.org/author/Changlin-Wan/40400896', 'https://www.semanticscholar.org/author/Chi-Zhang/48934874']"
Residual EBMs: Does Real vs. Fake Text Discrimination Generalize?,25 September 2019,['https://www.semanticscholar.org/paper/Residual-EBMs%3A-Does-Real-vs.-Fake-Text-Generalize-Bakhtin-Gross/c0f84c1a62737b3500087f6d75208c55d6afc4f4'],"[""https://www.semanticscholar.org/author/Marc'Aurelio-Ranzato/116587616"", 'https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Anton-Bakhtin/152918929', 'https://www.semanticscholar.org/author/Sam-Gross/39793298', 'https://www.semanticscholar.org/author/Arthur-Szlam/3149531', 'https://www.semanticscholar.org/author/Yuntian-Deng/2505751']"
EnsembleNet: A novel architecture for Incremental Learning,25 September 2019,['https://www.semanticscholar.org/paper/EnsembleNet%3A-A-novel-architecture-for-Incremental-Harsha-Kalidas/ecde0ca492f31284cfce87c56870edcd7c88ce76'],"['https://www.semanticscholar.org/author/Yeturu-Kalidas/7415754', 'https://www.semanticscholar.org/author/Suri-Bhasker-Sri-Harsha/1572259452']"
Dual Sequential Monte Carlo: Tunneling Filtering and Planning in Continuous POMDPs,25 September 2019,['https://www.semanticscholar.org/paper/Dual-Sequential-Monte-Carlo%3A-Tunneling-Filtering-in-Wang-Liu/dc338eea606947817d212d4e5d85e026a4519be5'],"['https://www.semanticscholar.org/author/Jiajun-Wu/3045089', 'https://www.semanticscholar.org/author/Bo-Liu/47655718', 'https://www.semanticscholar.org/author/Joshua-B.-Tenenbaum/1763295', 'https://www.semanticscholar.org/author/Yuke-Zhu/2117748', 'https://www.semanticscholar.org/author/Li-Fei-Fei/48004138', 'https://www.semanticscholar.org/author/Simon-S.-Du/145697585']"
Fast Bilinear Matrix Normalization via  Rank-1 Update,25 September 2019,['https://www.semanticscholar.org/paper/Fast-Bilinear-Matrix-Normalization-via-Rank-1-Yu-Cai/25ad8fd87d8868bc42fc0f79b702a39d6227950e'],"['https://www.semanticscholar.org/author/Ping-Li/2420746', 'https://www.semanticscholar.org/author/Tan-Yu/3287750', 'https://www.semanticscholar.org/author/Yunfeng-Cai/48694117']"
Task-Mediated Representation Learning,25 September 2019,['https://www.semanticscholar.org/paper/Task-Mediated-Representation-Learning-Bugrov-Sun/cdbd592227bb6148ddfd3a44d05ca4a2cb44d7c2'],"['https://www.semanticscholar.org/author/Ron-Sun/36060173', 'https://www.semanticscholar.org/author/Sergei-Bugrov/1660945588']"
Universality Theorems for Generative Models,27 May 2019,['https://www.semanticscholar.org/paper/Universality-Theorems-for-Generative-Models-Khrulkov-Oseledets/8204599b228e8d75da2692729a3063cc9bd9192b'],"['https://www.semanticscholar.org/author/Valentin-Khrulkov/10662951', 'https://www.semanticscholar.org/author/Ivan-V.-Oseledets/1738205']"
Embodied Language Grounding with Implicit 3D Visual Feature Representations,25 September 2019,"['https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-Implicit-3D-Visual-Prabhudesai-Tung/3245f7b672b382d9a122fe1730ae22113d61dbc4', 'https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-3D-Visual-Feature-Prabhudesai-Tung/77e98ae704a70478fb1eea7625f54d103e427a58']","['https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557', 'https://www.semanticscholar.org/author/Syed-Ashar-Javed/40604609', 'https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Adam-W.-Harley/34939798', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Maximilian-Sieb/51039185']"
Geometry-Aware Visual Predictive Models of Intuitive Physics,25 September 2019,['https://www.semanticscholar.org/paper/Geometry-Aware-Visual-Predictive-Models-of-Physics-Tung-Xi-an/55296fad233e1c1c45956fad95ad99d8c1e9e2e1'],"['https://www.semanticscholar.org/author/Zhou-Xi-an/145541288', 'https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557']"
PNEN: Pyramid Non-Local Enhanced Networks,25 September 2019,['https://www.semanticscholar.org/paper/PNEN%3A-Pyramid-Non-Local-Enhanced-Networks-Zhu-Fang/117acef5ae1fee09435b12057b4f600a12a95b89'],"['https://www.semanticscholar.org/author/Chaowei-Fang/2082794', 'https://www.semanticscholar.org/author/Kai-Kuang-Ma/123870267', 'https://www.semanticscholar.org/author/Feida-Zhu/1409856741']"
Auto Network Compression with Cross-Validation Gradient,25 September 2019,['https://www.semanticscholar.org/paper/Auto-Network-Compression-with-Cross-Validation-Tian-Liu/8b63c43c0966eaaf29bcc7e261df2014d9d97002'],"['https://www.semanticscholar.org/author/Yilu-Liu/49420818', 'https://www.semanticscholar.org/author/Nannan-Tian/6302868']"
