year,title,authors,author_data
2018,Assessing the scalability of biologically-motivated deep learning algorithms and architectures,"['https://www.semanticscholar.org/author/Timothy-P.-Lillicrap/2542999', 'https://www.semanticscholar.org/author/Geoffrey-E.-Hinton/1695689', 'https://www.semanticscholar.org/author/Blake-A.-Richards/38498866', 'https://www.semanticscholar.org/author/Adam-Santoro/35030998', 'https://www.semanticscholar.org/author/Sergey-Bartunov/2258504']","[{'Publications': '74', 'h-index': '39', 'Citations': '24,736', 'Highly Influential Citations': '3,026'}, {'Publications': '415', 'h-index': '131', 'Citations': '228,864', 'Highly Influential Citations': '21,932'}, {'Publications': '56', 'h-index': '18', 'Citations': '1,856', 'Highly Influential Citations': '110'}, {'Publications': '35', 'h-index': '21', 'Citations': '3,180', 'Highly Influential Citations': '366'}, {'Publications': '13', 'h-index': '8', 'Citations': '1,182', 'Highly Influential Citations': '131'}]"
2018,Neural Variational Sparse Topic Model,['https://www.semanticscholar.org/author/Qianqian-Xie/3406298'],"[{'Publications': '16', 'h-index': '7', 'Citations': '123', 'Highly Influential Citations': '3'}]"
2018,Melody Generation for Pop Music via Word Representation of Musical Properties,"['https://www.semanticscholar.org/author/Hiroharu-Kato/47192865', 'https://www.semanticscholar.org/author/Tatsuya-Harada/1790553', 'https://www.semanticscholar.org/author/Masataka-Yamaguchi/3369734', 'https://www.semanticscholar.org/author/Katsunori-Ohnishi/8197937', 'https://www.semanticscholar.org/author/Masahiro-Nakawaki/27656384', 'https://www.semanticscholar.org/author/Andrew-Shin/145568592', 'https://www.semanticscholar.org/author/Kuniaki-Saito/2652444', 'https://www.semanticscholar.org/author/L%C3%A9opold-Crestel/3468368', 'https://www.semanticscholar.org/author/Yoshitaka-Ushiku/3250559']","[{'Publications': '182', 'h-index': '15', 'Citations': '1,308', 'Highly Influential Citations': '91'}, {'Publications': '216', 'h-index': '28', 'Citations': '2,786', 'Highly Influential Citations': '336'}, {'Publications': '160', 'h-index': '6', 'Citations': '148', 'Highly Influential Citations': '10'}, {'Publications': '18', 'h-index': '8', 'Citations': '182', 'Highly Influential Citations': '8'}, {'Publications': '1', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}, {'Publications': '23', 'h-index': '7', 'Citations': '212', 'Highly Influential Citations': '8'}, {'Publications': '281', 'h-index': '43', 'Citations': '6,739', 'Highly Influential Citations': '478'}, {'Publications': '4', 'h-index': '2', 'Citations': '16', 'Highly Influential Citations': '1'}, {'Publications': '55', 'h-index': '17', 'Citations': '1,475', 'Highly Influential Citations': '256'}]"
2018,Spatial Variational Auto-Encoding via Matrix-Variate Normal Distributions,"['https://www.semanticscholar.org/author/Shuiwang-Ji/1743600', 'https://www.semanticscholar.org/author/Hao-Yuan/145784241', 'https://www.semanticscholar.org/author/Zhengyang-Wang/8492168']","[{'Publications': '140', 'h-index': '36', 'Citations': '9,664', 'Highly Influential Citations': '735'}, {'Publications': '162', 'h-index': '19', 'Citations': '1,411', 'Highly Influential Citations': '70'}, {'Publications': '29', 'h-index': '10', 'Citations': '613', 'Highly Influential Citations': '35'}]"
2018,Dense Transformer Networks,"['https://www.semanticscholar.org/author/Lei-Cai/50258385', 'https://www.semanticscholar.org/author/Shuiwang-Ji/1743600', 'https://www.semanticscholar.org/author/Ian-Davidson/143763341', 'https://www.semanticscholar.org/author/Jun-Yu-Li/46276037', 'https://www.semanticscholar.org/author/Yongjun-Chen/29515359']","[{'Publications': '305', 'h-index': '26', 'Citations': '3,093', 'Highly Influential Citations': '81'}, {'Publications': '140', 'h-index': '36', 'Citations': '9,664', 'Highly Influential Citations': '735'}, {'Publications': '263', 'h-index': '35', 'Citations': '4,200', 'Highly Influential Citations': '331'}, {'Publications': '2,609', 'h-index': '67', 'Citations': '30,651', 'Highly Influential Citations': '1,551'}, {'Publications': '125', 'h-index': '19', 'Citations': '1,109', 'Highly Influential Citations': '49'}]"
2018,Self-Organization adds application robustness to deep learners,"['https://www.semanticscholar.org/author/Thomas-P.-Trappenberg/1741671', 'https://www.semanticscholar.org/author/Pitoyo-Hartono/144806973']","[{'Publications': '138', 'h-index': '17', 'Citations': '1,004', 'Highly Influential Citations': '48'}, {'Publications': '66', 'h-index': '7', 'Citations': '180', 'Highly Influential Citations': '6'}]"
2018,Information Theoretic Co-Training,['https://www.semanticscholar.org/author/David-McAllester/93591671'],"[{'Publications': '50', 'h-index': '6', 'Citations': '505', 'Highly Influential Citations': '46'}]"
2018,Towards Quantum Inspired Convolution Networks,"['https://www.semanticscholar.org/author/Davi-Geiger/14489533', 'https://www.semanticscholar.org/author/Zvi-M.-Kedem/1682592']","[{'Publications': '100', 'h-index': '21', 'Citations': '2,629', 'Highly Influential Citations': '151'}, {'Publications': '104', 'h-index': '20', 'Citations': '2,909', 'Highly Influential Citations': '171'}]"
2018,Deep Epitome for Unravelling Generalized Hamming Network: A Fuzzy Logic Interpretation of Deep Learning,['https://www.semanticscholar.org/author/Lixin-Fan/2034793'],"[{'Publications': '89', 'h-index': '13', 'Citations': '623', 'Highly Influential Citations': '30'}]"
2018,Interactive Boosting of Neural Networks for Small-sample Image Classification,"['https://www.semanticscholar.org/author/Jun-Guo/143983162', 'https://www.semanticscholar.org/author/Dongliang-Chang/67146777', 'https://www.semanticscholar.org/author/Jie-Cao/144473268', 'https://www.semanticscholar.org/author/Zhanyu-Ma/1755773', 'https://www.semanticscholar.org/author/Xiaoxu-Li/1876419', 'https://www.semanticscholar.org/author/Zheng-Hua-Tan/1709835']","[{'Publications': '89', 'h-index': '9', 'Citations': '292', 'Highly Influential Citations': '20'}, {'Publications': '19', 'h-index': '4', 'Citations': '99', 'Highly Influential Citations': '3'}, {'Publications': '83', 'h-index': '9', 'Citations': '336', 'Highly Influential Citations': '7'}, {'Publications': '125', 'h-index': '25', 'Citations': '2,002', 'Highly Influential Citations': '64'}, {'Publications': '72', 'h-index': '14', 'Citations': '703', 'Highly Influential Citations': '14'}, {'Publications': '184', 'h-index': '22', 'Citations': '1,981', 'Highly Influential Citations': '134'}]"
2018,Tensor-Based Preposition Representation,"['https://www.semanticscholar.org/author/Suma-Bhat/145355558', 'https://www.semanticscholar.org/author/Pramod-Viswanath/144768649', 'https://www.semanticscholar.org/author/Hongyu-Gong/2008458']","[{'Publications': '64', 'h-index': '10', 'Citations': '365', 'Highly Influential Citations': '32'}, {'Publications': '179', 'h-index': '40', 'Citations': '18,026', 'Highly Influential Citations': '2,074'}, {'Publications': '17', 'h-index': '6', 'Citations': '132', 'Highly Influential Citations': '12'}]"
2018,Tactical Decision Making for Lane Changing with Deep Reinforcement Learning,"['https://www.semanticscholar.org/author/Alireza-Nakhaei/2148583', 'https://www.semanticscholar.org/author/Mustafa-Mukadam/2874057', 'https://www.semanticscholar.org/author/Akansel-Cosgun/3216610', 'https://www.semanticscholar.org/author/Kikuo-Fujimura/35047644']","[{'Publications': '43', 'h-index': '10', 'Citations': '379', 'Highly Influential Citations': '19'}, {'Publications': '23', 'h-index': '9', 'Citations': '312', 'Highly Influential Citations': '19'}, {'Publications': '31', 'h-index': '11', 'Citations': '491', 'Highly Influential Citations': '20'}, {'Publications': '161', 'h-index': '29', 'Citations': '4,281', 'Highly Influential Citations': '229'}]"
2018, A Matrix Approximation View of NCE that Justifies Self-Normalization,"['https://www.semanticscholar.org/author/Jacob-Goldberger/34508613', 'https://www.semanticscholar.org/author/Oren-Melamud/2298649']","[{'Publications': '180', 'h-index': '36', 'Citations': '5,740', 'Highly Influential Citations': '559'}, {'Publications': '20', 'h-index': '8', 'Citations': '552', 'Highly Influential Citations': '85'}]"
