RefNet: Automatic Essay Scoring by Pairwise Comparison,"['https://www.semanticscholar.org/author/Jinan-Zhou/49640714', 'https://www.semanticscholar.org/author/Jiaxin-Li/145149511']","[{'Publications': '5', 'h-index': '1', 'Citations': '6', 'Highly Influential Citations': '0'}, {'Publications': '62', 'h-index': '10', 'Citations': '499', 'Highly Influential Citations': '58'}]"
Topology of deep neural networks,"['https://www.semanticscholar.org/author/Andrey-Zhitnikov/14541845', 'https://www.semanticscholar.org/author/Gregory-Naitzat/30745163', 'https://www.semanticscholar.org/author/Lek-Heng-Lim/1784453']","[{'Publications': '5', 'h-index': '1', 'Citations': '18', 'Highly Influential Citations': '0'}, {'Publications': '5', 'h-index': '2', 'Citations': '31', 'Highly Influential Citations': '3'}, {'Publications': '92', 'h-index': '24', 'Citations': '4,069', 'Highly Influential Citations': '399'}]"
Provable Convergence and Global Optimality  of Generative Adversarial Network,"['https://www.semanticscholar.org/author/Zhaoran-Wang/50218397', 'https://www.semanticscholar.org/author/Qi-Liang-Cai/153492304', 'https://www.semanticscholar.org/author/Shaolei-S.-Du/116587905', 'https://www.semanticscholar.org/author/Zhuoran-Yang/150358650', 'https://www.semanticscholar.org/author/Jason-D.-Lee/2421201']","[{'Publications': '26', 'h-index': '7', 'Citations': '126', 'Highly Influential Citations': '16'}, {'Publications': '9', 'h-index': '1', 'Citations': '2', 'Highly Influential Citations': '0'}, {'Publications': '2', 'h-index': '1', 'Citations': '2', 'Highly Influential Citations': '0'}, {'Publications': '42', 'h-index': '7', 'Citations': '194', 'Highly Influential Citations': '23'}, {'Publications': '121', 'h-index': '36', 'Citations': '5,042', 'Highly Influential Citations': '620'}]"
Improving Irregularly Sampled Time Series Learning with Dense Descriptors of Time,"['https://www.semanticscholar.org/author/Lucas-Anacretto-Pereira/48219255', 'https://www.semanticscholar.org/author/Anderson-da-Silva-Soares/34716840', 'https://www.semanticscholar.org/author/Rafael-T.-Sousa/8772839']","[{'Publications': '10', 'h-index': '3', 'Citations': '35', 'Highly Influential Citations': '3'}, {'Publications': '7', 'h-index': '2', 'Citations': '4', 'Highly Influential Citations': '0'}, {'Publications': '5', 'h-index': '3', 'Citations': '12', 'Highly Influential Citations': '0'}]"
Understanding and Training Deep Diagonal Circulant Neural Networks,"['https://www.semanticscholar.org/author/Jamal-Atif/1773774', 'https://www.semanticscholar.org/author/Yann-Chevaleyre/1705871', 'https://www.semanticscholar.org/author/Benjamin-N%C3%A9grevergne/2511985', 'https://www.semanticscholar.org/author/Alexandre-Araujo/145533439']","[{'Publications': '114', 'h-index': '14', 'Citations': '991', 'Highly Influential Citations': '42'}, {'Publications': '102', 'h-index': '26', 'Citations': '2,407', 'Highly Influential Citations': '200'}, {'Publications': '30', 'h-index': '9', 'Citations': '278', 'Highly Influential Citations': '23'}, {'Publications': '9', 'h-index': '4', 'Citations': '38', 'Highly Influential Citations': '7'}]"
DP-LSSGD: An Optimization Method to Lift the Utility in Privacy-Preserving ERM,"['https://www.semanticscholar.org/author/Bao-Wang/144570116', 'https://www.semanticscholar.org/author/Quanquan-Gu/9937103', 'https://www.semanticscholar.org/author/March-Tian-Boedihardjo/73133034', 'https://www.semanticscholar.org/author/Stanley-Osher/103583159', 'https://www.semanticscholar.org/author/Farzin-Barekat/3337521']","[{'Publications': '11', 'h-index': '1', 'Citations': '2', 'Highly Influential Citations': '0'}, {'Publications': '175', 'h-index': '35', 'Citations': '4,160', 'Highly Influential Citations': '416'}, {'Publications': '22', 'h-index': '4', 'Citations': '29', 'Highly Influential Citations': '3'}, {'Publications': '25', 'h-index': '5', 'Citations': '145', 'Highly Influential Citations': '15'}, {'Publications': '21', 'h-index': '5', 'Citations': '56', 'Highly Influential Citations': '2'}]"
On Global Feature Pooling for Fine-grained Visual Categorization,"['https://www.semanticscholar.org/author/Connor-Anderson/24884535', 'https://www.semanticscholar.org/author/Pei-Xi-Guo/144183195', 'https://www.semanticscholar.org/author/Ryan-Farrell/147900701']","[{'Publications': '14', 'h-index': '2', 'Citations': '101', 'Highly Influential Citations': '5'}, {'Publications': '54', 'h-index': '8', 'Citations': '241', 'Highly Influential Citations': '14'}, {'Publications': '8', 'h-index': '1', 'Citations': '1', 'Highly Influential Citations': '0'}]"
Quantifying Exposure Bias for Neural Language Generation,"['https://www.semanticscholar.org/author/Tianxing-He/3083253', 'https://www.semanticscholar.org/author/Zhiming-Zhou/145385776', 'https://www.semanticscholar.org/author/James-F.-Glass/36217631', 'https://www.semanticscholar.org/author/Jingzhao-Zhang/50561307']","[{'Publications': '18', 'h-index': '5', 'Citations': '151', 'Highly Influential Citations': '20'}, {'Publications': '29', 'h-index': '8', 'Citations': '243', 'Highly Influential Citations': '21'}, {'Publications': '43', 'h-index': '5', 'Citations': '94', 'Highly Influential Citations': '8'}, {'Publications': '41', 'h-index': '7', 'Citations': '439', 'Highly Influential Citations': '17'}]"
Mix-review: Alleviate Forgetting in the Pretrain-Finetune Framework for Neural Language Generation Models,"['https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Tianxing-He/3083253', 'https://www.semanticscholar.org/author/James-R.-Glass/145898106', 'https://www.semanticscholar.org/author/Bing-Liu/47655360', 'https://www.semanticscholar.org/author/Jianzhuang-Liu/46700604', 'https://www.semanticscholar.org/author/Kyunghyun-Cho/1979489', 'https://www.semanticscholar.org/author/Fuchun-Peng/1682136']","[{'Publications': '39', 'h-index': '20', 'Citations': '4,157', 'Highly Influential Citations': '818'}, {'Publications': '18', 'h-index': '5', 'Citations': '151', 'Highly Influential Citations': '20'}, {'Publications': '342', 'h-index': '57', 'Citations': '11,517', 'Highly Influential Citations': '966'}, {'Publications': '86', 'h-index': '10', 'Citations': '304', 'Highly Influential Citations': '15'}, {'Publications': '134', 'h-index': '10', 'Citations': '419', 'Highly Influential Citations': '37'}, {'Publications': '274', 'h-index': '53', 'Citations': '47,561', 'Highly Influential Citations': '6,747'}, {'Publications': '68', 'h-index': '23', 'Citations': '3,179', 'Highly Influential Citations': '299'}]"
INVOCMAP: MAPPING METHOD NAMES TO METHOD INVOCATIONS VIA MACHINE LEARNING,"['https://www.semanticscholar.org/author/Ali-Jannesari/1692563', 'https://www.semanticscholar.org/author/Hung-M.-Phan/144568097']","[{'Publications': '99', 'h-index': '18', 'Citations': '933', 'Highly Influential Citations': '20'}, {'Publications': '38', 'h-index': '13', 'Citations': '533', 'Highly Influential Citations': '48'}]"
