year,title,date,paper_links,author_links
2018,Assessing the scalability of biologically-motivated deep learning algorithms and architectures,1/13/18,['https://www.semanticscholar.org/paper/Assessing-the-Scalability-of-Biologically-Motivated-Bartunov-Santoro/c898161e3691625bcef780b78100f70e8bb94154'],"['https://www.semanticscholar.org/author/Timothy-P.-Lillicrap/2542999', 'https://www.semanticscholar.org/author/Geoffrey-E.-Hinton/1695689', 'https://www.semanticscholar.org/author/Blake-A.-Richards/38498866', 'https://www.semanticscholar.org/author/Adam-Santoro/35030998', 'https://www.semanticscholar.org/author/Sergey-Bartunov/2258504']"
2018,Neural Variational Sparse Topic Model,1/21/18,['https://www.semanticscholar.org/paper/Neural-Variational-Sparse-Topic-Model-Xie/67a397d0dd3d2162c16e98a03b4794824fd643b4'],['https://www.semanticscholar.org/author/Qianqian-Xie/3406298']
2018,Melody Generation for Pop Music via Word Representation of Musical Properties,10/31/17,['https://www.semanticscholar.org/paper/Melody-Generation-for-Pop-Music-via-Word-of-Musical-Shin-Crestel/3d5c189f522f68de8a5f5e2e1f498de392a5e0b1'],"['https://www.semanticscholar.org/author/Hiroharu-Kato/47192865', 'https://www.semanticscholar.org/author/Tatsuya-Harada/1790553', 'https://www.semanticscholar.org/author/Masataka-Yamaguchi/3369734', 'https://www.semanticscholar.org/author/Katsunori-Ohnishi/8197937', 'https://www.semanticscholar.org/author/Masahiro-Nakawaki/27656384', 'https://www.semanticscholar.org/author/Andrew-Shin/145568592', 'https://www.semanticscholar.org/author/Kuniaki-Saito/2652444', 'https://www.semanticscholar.org/author/L%C3%A9opold-Crestel/3468368', 'https://www.semanticscholar.org/author/Yoshitaka-Ushiku/3250559']"
2018,Spatial Variational Auto-Encoding via Matrix-Variate Normal Distributions,5/18/17,['https://www.semanticscholar.org/paper/Spatial-Variational-Auto-Encoding-via-Normal-Wang-Yuan/f67afec4226aba674e786698b39b85b124945ddd'],"['https://www.semanticscholar.org/author/Shuiwang-Ji/1743600', 'https://www.semanticscholar.org/author/Hao-Yuan/145784241', 'https://www.semanticscholar.org/author/Zhengyang-Wang/8492168']"
2018,Dense Transformer Networks,5/24/17,"['https://www.semanticscholar.org/paper/Dense-Transformer-Networks-for-Brain-Electron-Image-Li-Chen/a55ed39239b34653edc8d3a9b17554967e38a503', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li-Chen/e430d6df0f31c1e2882f2a60795abae9d3f954ab', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li/cb406838c479bb94f7659a63110ec43e104f193a']","['https://www.semanticscholar.org/author/Lei-Cai/50258385', 'https://www.semanticscholar.org/author/Yongjun-Chen/49070069', 'https://www.semanticscholar.org/author/Shuiwang-Ji/1743600', 'https://www.semanticscholar.org/author/Ian-Davidson/143763341', 'https://www.semanticscholar.org/author/Jun-Li/37397865', 'https://www.semanticscholar.org/author/Jun-Yu-Li/46276037', 'https://www.semanticscholar.org/author/Lei-Cai/31694365', 'https://www.semanticscholar.org/author/Jun-Li/49298752', 'https://www.semanticscholar.org/author/Yongjun-Chen/29515359']"
2018,Self-Organization adds application robustness to deep learners,12/25/17,['https://www.semanticscholar.org/paper/Self-Organization-adds-application-robustness-to-Hartono-Trappenberg/4d3f2735ccfcb27069033dadcfcc15ee5f0d813f'],"['https://www.semanticscholar.org/author/Thomas-P.-Trappenberg/1741671', 'https://www.semanticscholar.org/author/Pitoyo-Hartono/144806973']"
2018,Information Theoretic Co-Training,1/5/18,['https://www.semanticscholar.org/paper/Information-Theoretic-Co-Training-McAllester/bc2660e9fb1ffc6a816851a664ea807652533fef'],['https://www.semanticscholar.org/author/David-McAllester/93591671']
2018,Towards Quantum Inspired Convolution Networks,12/2/17,['https://www.semanticscholar.org/paper/Towards-Quantum-Inspired-Convolution-Networks-Geiger-Kedem/73eadd49d7cb73424140f3f95788290a064a6463'],"['https://www.semanticscholar.org/author/Davi-Geiger/14489533', 'https://www.semanticscholar.org/author/Zvi-M.-Kedem/1682592']"
2018,Deep Epitome for Unravelling Generalized Hamming Network: A Fuzzy Logic Interpretation of Deep Learning,11/15/17,['https://www.semanticscholar.org/paper/Deep-Epitome-for-Unravelling-Generalized-Hamming-A-Fan/0a4bcef481e76ac2b48533ccd099fa8dd52b2fcf'],['https://www.semanticscholar.org/author/Lixin-Fan/2034793']
2018,Interactive Boosting of Neural Networks for Small-sample Image Classification,1/2/18,['https://www.semanticscholar.org/paper/Interactive-Boosting-of-Neural-Networks-for-Image-Li-Chang/087c369513bebcde063c17ff0edc88eb1262d291'],"['https://www.semanticscholar.org/author/Jun-Guo/143983162', 'https://www.semanticscholar.org/author/Dongliang-Chang/67146777', 'https://www.semanticscholar.org/author/Jie-Cao/144473268', 'https://www.semanticscholar.org/author/Zhanyu-Ma/1755773', 'https://www.semanticscholar.org/author/Xiaoxu-Li/1876419', 'https://www.semanticscholar.org/author/Zheng-Hua-Tan/1709835']"
2018,Tensor-Based Preposition Representation,12/12/17,['https://www.semanticscholar.org/paper/Tensor-Based-Preposition-Representation-Gong-Bhat/f70b5cc799e4d1bf4bfdfc29087eda84828f2a51'],"['https://www.semanticscholar.org/author/Suma-Bhat/145355558', 'https://www.semanticscholar.org/author/Pramod-Viswanath/144768649', 'https://www.semanticscholar.org/author/Hongyu-Gong/2008458']"
2018,Tactical Decision Making for Lane Changing with Deep Reinforcement Learning,12/13/17,['https://www.semanticscholar.org/paper/Tactical-Decision-Making-for-Lane-Changing-with-Mukadam-Cosgun/a15b2393c3ce3473b859f9fd1892daec67588b66'],"['https://www.semanticscholar.org/author/Alireza-Nakhaei/2148583', 'https://www.semanticscholar.org/author/Mustafa-Mukadam/2874057', 'https://www.semanticscholar.org/author/Akansel-Cosgun/3216610', 'https://www.semanticscholar.org/author/Kikuo-Fujimura/35047644']"
2018, A Matrix Approximation View of NCE that Justifies Self-Normalization,12/14/17,['https://www.semanticscholar.org/paper/A-Matrix-Approximation-View-of-NCE-that-Justifies-Goldberger-Melamud/4e0fab2acb195d9af4824febe0ab2989812cfcf2'],"['https://www.semanticscholar.org/author/Jacob-Goldberger/34508613', 'https://www.semanticscholar.org/author/Oren-Melamud/2298649']"
