year,title,papers,paper_data
2018,Assessing the scalability of biologically-motivated deep learning algorithms and architectures,['https://www.semanticscholar.org/paper/Assessing-the-Scalability-of-Biologically-Motivated-Bartunov-Santoro/c898161e3691625bcef780b78100f70e8bb94154'],[{'Citations': 76}]
2018,Neural Variational Sparse Topic Model,['https://www.semanticscholar.org/paper/Neural-Variational-Sparse-Topic-Model-Xie/67a397d0dd3d2162c16e98a03b4794824fd643b4'],[{'Citations': 0}]
2018,Melody Generation for Pop Music via Word Representation of Musical Properties,['https://www.semanticscholar.org/paper/Melody-Generation-for-Pop-Music-via-Word-of-Musical-Shin-Crestel/3d5c189f522f68de8a5f5e2e1f498de392a5e0b1'],[{'Citations': 6}]
2018,Spatial Variational Auto-Encoding via Matrix-Variate Normal Distributions,['https://www.semanticscholar.org/paper/Spatial-Variational-Auto-Encoding-via-Normal-Wang-Yuan/f67afec4226aba674e786698b39b85b124945ddd'],[{'Citations': 3}]
2018,Dense Transformer Networks,"['https://www.semanticscholar.org/paper/Dense-Transformer-Networks-for-Brain-Electron-Image-Li-Chen/a55ed39239b34653edc8d3a9b17554967e38a503', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li-Chen/e430d6df0f31c1e2882f2a60795abae9d3f954ab', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li/cb406838c479bb94f7659a63110ec43e104f193a']","[{'Citations': 1}, {'Citations': 11}, {'Citations': 0}]"
2018,Self-Organization adds application robustness to deep learners,['https://www.semanticscholar.org/paper/Self-Organization-adds-application-robustness-to-Hartono-Trappenberg/4d3f2735ccfcb27069033dadcfcc15ee5f0d813f'],[{'Citations': 0}]
2018,Information Theoretic Co-Training,['https://www.semanticscholar.org/paper/Information-Theoretic-Co-Training-McAllester/bc2660e9fb1ffc6a816851a664ea807652533fef'],[{'Citations': 12}]
2018,Towards Quantum Inspired Convolution Networks,['https://www.semanticscholar.org/paper/Towards-Quantum-Inspired-Convolution-Networks-Geiger-Kedem/73eadd49d7cb73424140f3f95788290a064a6463'],[{'Citations': 0}]
2018,Deep Epitome for Unravelling Generalized Hamming Network: A Fuzzy Logic Interpretation of Deep Learning,['https://www.semanticscholar.org/paper/Deep-Epitome-for-Unravelling-Generalized-Hamming-A-Fan/0a4bcef481e76ac2b48533ccd099fa8dd52b2fcf'],[{'Citations': 2}]
2018,Interactive Boosting of Neural Networks for Small-sample Image Classification,['https://www.semanticscholar.org/paper/Interactive-Boosting-of-Neural-Networks-for-Image-Li-Chang/087c369513bebcde063c17ff0edc88eb1262d291'],[{'Citations': 0}]
2018,Tensor-Based Preposition Representation,['https://www.semanticscholar.org/paper/Tensor-Based-Preposition-Representation-Gong-Bhat/f70b5cc799e4d1bf4bfdfc29087eda84828f2a51'],[{'Citations': 3}]
2018,Tactical Decision Making for Lane Changing with Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Tactical-Decision-Making-for-Lane-Changing-with-Mukadam-Cosgun/a15b2393c3ce3473b859f9fd1892daec67588b66'],[{'Citations': 34}]
2018, A Matrix Approximation View of NCE that Justifies Self-Normalization,['https://www.semanticscholar.org/paper/A-Matrix-Approximation-View-of-NCE-that-Justifies-Goldberger-Melamud/4e0fab2acb195d9af4824febe0ab2989812cfcf2'],[{'Citations': 0}]
2018,Detecting Anomalies in Communication Packet Streams based on  Generative Adversarial Networks,['https://www.semanticscholar.org/paper/Detecting-Anomalies-in-Communication-Packet-Streams-Zhang-Niu/03e532b37ce12c7eb9afc50d43b68dc63bb557f6'],[{'Citations': 1}]
2018,Distributional Inclusion Vector Embedding for Unsupervised Hypernymy Detection,['https://www.semanticscholar.org/paper/Distributional-Inclusion-Vector-Embedding-for-Chang-Wang/005a5ac1c06c1d6c4f7cb162a84d786c376133c1'],[{'Citations': 25}]
2018,Embedding Multimodal Relational Data,['https://www.semanticscholar.org/paper/Embedding-Multimodal-Relational-Data-Pezeshkpour-Chen/094ff8202b541b9067af0d5dbdfc1930c1bce281'],[{'Citations': 4}]
2018,pix2code: Generating Code from a Graphical User Interface Screenshot,['https://www.semanticscholar.org/paper/pix2code%3A-Generating-Code-from-a-Graphical-User-Beltramelli/9858b40d23d329151f202b76aac7ca515dee5913'],[{'Citations': 68}]
2018,Improved Learning in Convolutional Neural Networks with Shifted Exponential Linear Units (ShELUs),"['https://www.semanticscholar.org/paper/Improved-Learning-in-Convolutional-Neural-Networks-Grelsson-Felsberg/9a629b5a530cadfd3e5209603b3150866557b564', 'https://www.semanticscholar.org/paper/Improved-Learning-in-Convolutional-Neural-Grelsson-Felsberg/75949df7c5a54bb2ef7053285c7eb747b4d33a6d']","[{'Citations': 1}, {'Citations': 0}]"
2018,Robust Task Clustering for Deep and Diverse Multi-Task and Few-Shot Learning,['https://www.semanticscholar.org/paper/Robust-Task-Clustering-for-Deep-and-Diverse-and-Yu-Guo/65c3e38d5c461ac8e1efb4b335469b0e862ad94d'],"[{'Citations': 1, 'Cite Background': 1, 'Cite Methods': 1, 'Twitter Mentions': 20}]"
2018,Per-Weight Class-Based Learning Rates via Analytical Continuation,['https://www.semanticscholar.org/paper/Per-Weight-Class-Based-Learning-Rates-via-Rotman-Wolf/a8451b0b1e0be0a0b17d3f8ee97ffeecf7c37356'],[{'Citations': 0}]
2018,VSE++: Improving Visual-Semantic Embeddings with Hard Negatives,['https://www.semanticscholar.org/paper/VSE%2B%2B%3A-Improving-Visual-Semantic-Embeddings-with-Faghri-Fleet/f7ab6c52be9351ac3f6cf8fe6ad5efba1c1595e8'],[{'Citations': 208}]
2018,Dynamically Learning the Learning Rates:  Online Hyperparameter Optimization,['https://www.semanticscholar.org/paper/Dynamically-Learning-the-Learning-Rates%3A-Online-Sarkar-Anandkumar/9fbc07d9588a302778cbcaac08dc6382eb6b5062'],[{'Citations': 0}]
2018,MULTI-MODAL GEOLOCATION ESTIMATION USING DEEP NEURAL NETWORKS,['https://www.semanticscholar.org/paper/Multi-modal-Geolocation-Estimation-Using-Deep-Johns-Rounds/1fd2655fd69a44bd9ca0d855521247d5620d3f82'],[{'Citations': 1}]
2018,Accelerating Convolutional Neural Networks using Iterative Two-Pass Decomposition,['https://www.semanticscholar.org/paper/Accelerating-Convolutional-Neural-Networks-using-Lin-Wu/99175ee6f86d4d0021d1453e2a2d8be77ee35e0c'],[{'Citations': 0}]
2018,Adaptive Weight Sparsity for Training Deep Neural Networks,['https://www.semanticscholar.org/paper/Adaptive-Weight-Sparsity-for-Training-Deep-Neural-James-Lindsey/accb6788cd2d83451b8ed597b18eae68e05ee03c'],[{'Citations': 1}]
2018,Deep Net Triage: Assessing The Criticality of Network Layers by Structural Compression,['https://www.semanticscholar.org/paper/Deep-Net-Triage%3A-Assessing-the-Criticality-of-by-Nowak-Corso/e9f5bb1f7ca4bb7d6fee35b1d1acd26a597b9945'],[{'Citations': 1}]
2018,Deep Active Learning over the Long Tail,['https://www.semanticscholar.org/paper/Deep-Active-Learning-over-the-Long-Tail-Geifman-El-Yaniv/41ed3608eae64fd181ca8b5e6d0eb63b210b588b'],[{'Citations': 22}]
2018,THE LOCAL DIMENSION OF DEEP MANIFOLD,['https://www.semanticscholar.org/paper/The-Local-Dimension-of-Deep-Manifold-Zhang-Wu/e1a54256d23c15385409f4fd6152d273bd562abb'],[{'Citations': 2}]
2018,Learning to Imagine Manipulation Goals for Robot Task Planning,['https://www.semanticscholar.org/paper/Learning-to-Imagine-Manipulation-Goals-for-Robot-Paxton-Katyal/778f8258bad0620b996666d883ce261216558ddd'],[{'Citations': 1}]
2018,Human-like Clustering with Deep Convolutional Neural Networks,['https://www.semanticscholar.org/paper/Human-like-Clustering-with-Deep-Convolutional-Borji-Dundar/ddb561cbdc1e8d76e88679c115f277effde4db8d'],[{'Citations': 2}]
2018,Attribute-aware Collaborative Filtering: Survey and Classification,"['https://www.semanticscholar.org/paper/Attribute-aware-Collaborative-Filtering%3A-Survey-and-Chen-Hsu/296831a95aa306e3d3409d482439d7827c19cc46', 'https://www.semanticscholar.org/paper/Attribute-Aware-Recommender-System-Based-on-Survey-Chen-Hsu/a8b34545935013dac51e9f1012c5df07257e9dcd']","[{'Citations': 0}, {'Citations': 0}]"
2018,Continuous Propagation: Layer-Parallel Training,['https://www.semanticscholar.org/paper/Continuous-Propagation%3A-Layer-Parallel-Training-James-Arpit/2d4ab29826f9cc2dcc6608ddab6a7e2e05391adc'],[{'Citations': 1}]
2018,Learning Topics using Semantic Locality,['https://www.semanticscholar.org/paper/Learning-Topics-Using-Semantic-Locality-Zhao-Pugdeethosapol/fd9d16f44f7677e7fbaaaec6826fabea63b7ae55'],[{'Citations': 3}]
2018,Anticipatory Asynchronous Advantage Actor-Critic (A4C): The power of Anticipation in Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Anticipatory-Asynchronous-Advantage-Actor-Critic-of-Luan-Medini/588cf6ff7cc952c2e90079c6d96bb7839bbcd7f4'],[{'Citations': 0}]
