Few-Shot Learning with Simplex,['https://www.semanticscholar.org/paper/Few-Shot-Learning-with-Simplex-Zhang-Zhang/1a91176216db49a84d86a76ac1d2d73e208d1efb'],[{'Citations': 0}]
Tracking Loss: Converting Object Detector to Robust Visual Tracker,['https://www.semanticscholar.org/paper/Tracking-Loss%3A-Converting-Object-Detector-to-Robust-Yan-Ren/61af1e4b4bfc4cd38ca969963be66ef4db30afd3'],[{'Citations': 0}]
Large Margin Neural Language Models,['https://www.semanticscholar.org/paper/Large-Margin-Neural-Language-Model-Huang-Li/ac5925e0be9695c70e01aa87aa7cf49d2a7f3db4'],[{'Citations': 7}]
Clustering with Deep Learning: Taxonomy and New Methods,['https://www.semanticscholar.org/paper/Clustering-with-Deep-Learning%3A-Taxonomy-and-New-Aljalbout-Golkov/48b9d350a0f20fdce7c8edc198fb3b3350600157'],[{'Citations': 81}]
Improving Conditional Sequence Generative Adversarial Networks by Stepwise Evaluation,['https://www.semanticscholar.org/paper/Improving-Conditional-Sequence-Generative-Networks-Tuan-Lee/484ffd765876bc7f82a9eacff68ca20dbd4fcc34'],[{'Citations': 14}]
Convolutional Mesh Autoencoders for 3D Face Representation,['https://www.semanticscholar.org/paper/Convolutional-Mesh-Autoencoders-for-3D-Face-Ranjan-Bolkart/090d5da6a808a2c362be8e1eb208e17222e4c9d6'],[{'Citations': 1}]
DENSELY CONNECTED RECURRENT NEURAL NETWORK FOR SEQUENCE-TO-SEQUENCE LEARNING,['https://www.semanticscholar.org/paper/Densely-Connected-Graph-Convolutional-Networks-for-Guo-Zhang/d58438041e8d645a3e531325d4f0aed3dbe41920'],[{'Citations': 24}]
Assessing the scalability of biologically-motivated deep learning algorithms and architectures,['https://www.semanticscholar.org/paper/Assessing-the-Scalability-of-Biologically-Motivated-Bartunov-Santoro/c898161e3691625bcef780b78100f70e8bb94154'],[{'Citations': 76}]
A Neural-Symbolic Approach to Natural Language Tasks,['https://www.semanticscholar.org/paper/A-Neural-Symbolic-Approach-to-Natural-Language-Huang-Smolensky/ba67de7e822a94091b9e57cc9be3069822a4f5c8'],[{'Citations': 1}]
Softmax Supervision with Isotropic Normalization,['https://www.semanticscholar.org/paper/Softmax-Supervision-with-Isotropic-Normalization-Zhao-Zhao/bdb4a094e5358d105288cd7af6f89a011ed66081'],[{'Citations': 2}]
Neural Variational Sparse Topic Model,['https://www.semanticscholar.org/paper/Neural-Variational-Sparse-Topic-Model-Xie/67a397d0dd3d2162c16e98a03b4794824fd643b4'],[{'Citations': 0}]
DEEPCAST : UNIVERSAL TIME-SERIES FORECASTER,['https://www.semanticscholar.org/paper/DEEPCAST%3A-UNIVERSAL-TIME-SERIES-FORECASTER-Laptev-Yu/08d6e43981e93aaf3dd7cc1fbd67279fb21637e5'],[{'Citations': 1}]
MINE: Mutual Information Neural Estimation,['https://www.semanticscholar.org/paper/MINE%3A-Mutual-Information-Neural-Estimation-Belghazi-Rajeswar/372bf2716c53e353be6c3f027493f1a40edb6640'],[{'Citations': 178}]
Curiosity-driven Exploration by Bootstrapping Features,['https://www.semanticscholar.org/paper/Curiosity-driven-Exploration-by-Bootstrapping-Edwards-Burda/6e6f3efeaeee3722be6fdb2b0666c09e62f7ba3c'],[{'Citations': 1}]
Embedding Deep Networks into Visual Explanations,['https://www.semanticscholar.org/paper/Embedding-Deep-Networks-into-Visual-Explanations-Qi-Li/a5294edaceb5905f04e28954c49563963e84c786'],[{'Citations': 4}]
Learning a set of interrelated tasks by using a succession of motor policies for a socially guided intrinsically motivated learner,['https://www.semanticscholar.org/paper/Learning-a-Set-of-Interrelated-Tasks-by-Using-a-of-Duminy-Nguyen/1b949da995c210236afc55a6d8de99d660d509c7'],[{'Citations': 11}]
Semi-supervised Regression with Generative Adversarial Networks for End to End Learning in Autonomous Driving,['https://www.semanticscholar.org/paper/Semi-supervised-Regression-with-Generative-Networks-Rezagholizadeh-Haidar/f750776a1264df51964ebae4e360ea4e422a256d'],[{'Citations': 1}]
DuoRC: Towards Complex Language Understanding with Paraphrased Reading Comprehension,['https://www.semanticscholar.org/paper/DuoRC%3A-Towards-Complex-Language-Understanding-with-Saha-Aralikatte/a7bbb084f5de4f318c811776afeba2b05439c234'],[{'Citations': 28}]
Discrete Wasserstein Generative Adversarial Networks (DWGAN),['https://www.semanticscholar.org/paper/Discrete-Wasserstein-Generative-Adversarial-(DWGAN)-Fathony-Goela/acf40208b0c8c9e9bac70cd954b1a3e7ba5d2122'],[{'Citations': 1}]
Deep contextualized word representations,['https://www.semanticscholar.org/paper/Deep-contextualized-word-representations-Peters-Neumann/3febb2bed8865945e7fddc99efd791887bb7e14f'],[]
Language Style Transfer from Non-Parallel Text with Arbitrary Styles,['https://www.semanticscholar.org/paper/Language-Style-Transfer-from-Non-Parallel-Text-with-Zhao-Bi/2d7e8b18e2b698adb8107cba726db013d57821eb'],[{'Citations': 1}]
Learning Audio Features for Singer Identification and Embedding,['https://www.semanticscholar.org/paper/Learning-Audio-Features-for-Singer-Identification-Wang-Tzanetakis/36d031424ebe4c9420220ea3a6acb50421a99a09'],[{'Citations': 1}]
Multitask learning of Multilingual Sentence Representations,"['https://www.semanticscholar.org/paper/Multitask-learning-of-Multilingual-Sentence-Singla-Can/ad1bd3a25275e7ee28ef7bf6518deffb41ee7cae', 'https://www.semanticscholar.org/paper/A-Multi-task-Approach-to-Learning-Multilingual-Singla-Can/0b43f66d99f43017db3e2975d38f1d86d1bde1ca']","[{'Citations': 0}, {'Citations': 8}]"
Melody Generation for Pop Music via Word Representation of Musical Properties,['https://www.semanticscholar.org/paper/Melody-Generation-for-Pop-Music-via-Word-of-Musical-Shin-Crestel/3d5c189f522f68de8a5f5e2e1f498de392a5e0b1'],[{'Citations': 6}]
Spatial Variational Auto-Encoding via Matrix-Variate Normal Distributions,['https://www.semanticscholar.org/paper/Spatial-Variational-Auto-Encoding-via-Normal-Wang-Yuan/f67afec4226aba674e786698b39b85b124945ddd'],[{'Citations': 3}]
Dense Transformer Networks,"['https://www.semanticscholar.org/paper/Dense-Transformer-Networks-for-Brain-Electron-Image-Li-Chen/a55ed39239b34653edc8d3a9b17554967e38a503', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li-Chen/e430d6df0f31c1e2882f2a60795abae9d3f954ab', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li/cb406838c479bb94f7659a63110ec43e104f193a']","[{'Citations': 1}, {'Citations': 11}, {'Citations': 0}]"
Self-Organization adds application robustness to deep learners,['https://www.semanticscholar.org/paper/Self-Organization-adds-application-robustness-to-Hartono-Trappenberg/4d3f2735ccfcb27069033dadcfcc15ee5f0d813f'],[{'Citations': 0}]
Information Theoretic Co-Training,['https://www.semanticscholar.org/paper/Information-Theoretic-Co-Training-McAllester/bc2660e9fb1ffc6a816851a664ea807652533fef'],[{'Citations': 12}]
The Multilinear Structure of ReLU Networks,['https://www.semanticscholar.org/paper/The-Multilinear-Structure-of-ReLU-Networks-Laurent-Brecht/8ac7b00f5add45b460f6a801faca4a84221b1014'],[{'Citations': 22}]
Towards Quantum Inspired Convolution Networks,['https://www.semanticscholar.org/paper/Towards-Quantum-Inspired-Convolution-Networks-Geiger-Kedem/73eadd49d7cb73424140f3f95788290a064a6463'],[{'Citations': 0}]
Deep Epitome for Unravelling Generalized Hamming Network: A Fuzzy Logic Interpretation of Deep Learning,['https://www.semanticscholar.org/paper/Deep-Epitome-for-Unravelling-Generalized-Hamming-A-Fan/0a4bcef481e76ac2b48533ccd099fa8dd52b2fcf'],[{'Citations': 2}]
Interactive Boosting of Neural Networks for Small-sample Image Classification,['https://www.semanticscholar.org/paper/Interactive-Boosting-of-Neural-Networks-for-Image-Li-Chang/087c369513bebcde063c17ff0edc88eb1262d291'],[{'Citations': 0}]
Tensor-Based Preposition Representation,['https://www.semanticscholar.org/paper/Tensor-Based-Preposition-Representation-Gong-Bhat/f70b5cc799e4d1bf4bfdfc29087eda84828f2a51'],[{'Citations': 3}]
Tactical Decision Making for Lane Changing with Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Tactical-Decision-Making-for-Lane-Changing-with-Mukadam-Cosgun/a15b2393c3ce3473b859f9fd1892daec67588b66'],[{'Citations': 34}]
 A Matrix Approximation View of NCE that Justifies Self-Normalization,['https://www.semanticscholar.org/paper/A-Matrix-Approximation-View-of-NCE-that-Justifies-Goldberger-Melamud/4e0fab2acb195d9af4824febe0ab2989812cfcf2'],[{'Citations': 0}]
Detecting Anomalies in Communication Packet Streams based on  Generative Adversarial Networks,['https://www.semanticscholar.org/paper/Detecting-Anomalies-in-Communication-Packet-Streams-Zhang-Niu/03e532b37ce12c7eb9afc50d43b68dc63bb557f6'],[{'Citations': 1}]
Distributional Inclusion Vector Embedding for Unsupervised Hypernymy Detection,['https://www.semanticscholar.org/paper/Distributional-Inclusion-Vector-Embedding-for-Chang-Wang/005a5ac1c06c1d6c4f7cb162a84d786c376133c1'],[{'Citations': 25}]
Embedding Multimodal Relational Data,['https://www.semanticscholar.org/paper/Embedding-Multimodal-Relational-Data-Pezeshkpour-Chen/094ff8202b541b9067af0d5dbdfc1930c1bce281'],[{'Citations': 4}]
Automatic Measurement on Etched Structure in Semiconductor Using Deep Learning Approach,['https://www.semanticscholar.org/paper/Simulation-of-semiconductor-processes-and-devices%2C-Meyer-Biesemans/81943e73aed3b0244aeff2ddbc4d138c91be97a5'],[{'Citations': 1}]
pix2code: Generating Code from a Graphical User Interface Screenshot,['https://www.semanticscholar.org/paper/pix2code%3A-Generating-Code-from-a-Graphical-User-Beltramelli/9858b40d23d329151f202b76aac7ca515dee5913'],[{'Citations': 68}]
Word Mover's Embedding: From Word2Vec to Document Embedding,"[""https://www.semanticscholar.org/paper/Word-Mover's-Embedding%3A-From-Word2Vec-to-Document-Wu-Yen/ef56afa4cefb90e263b1434dd3ca650904f54c6e""]",[{'Citations': 38}]
Confidence Scoring Using Whitebox Meta-models with Linear Classifier Probes,['https://www.semanticscholar.org/paper/Confidence-Scoring-Using-Whitebox-Meta-models-with-Chen-Navratil/cd0d9b33724eed8aabf13d7fcbc61d9b500afac9'],[{'Citations': 12}]
Improved Learning in Convolutional Neural Networks with Shifted Exponential Linear Units (ShELUs),"['https://www.semanticscholar.org/paper/Improved-Learning-in-Convolutional-Neural-Networks-Grelsson-Felsberg/9a629b5a530cadfd3e5209603b3150866557b564', 'https://www.semanticscholar.org/paper/Improved-Learning-in-Convolutional-Neural-Grelsson-Felsberg/75949df7c5a54bb2ef7053285c7eb747b4d33a6d']","[{'Citations': 1}, {'Citations': 0}]"
Robust Task Clustering for Deep and Diverse Multi-Task and Few-Shot Learning,['https://www.semanticscholar.org/paper/Robust-Task-Clustering-for-Deep-and-Diverse-and-Yu-Guo/65c3e38d5c461ac8e1efb4b335469b0e862ad94d'],[{'Citations': 0}]
Pseudo sequence based deep neural network compression,['https://www.semanticscholar.org/paper/Weight-Normalization-based-Quantization-for-Deep-Cai-Li/b146eb380d820a001634d3e476377b5817589aee'],[{'Citations': 3}]
Per-Weight Class-Based Learning Rates via Analytical Continuation,['https://www.semanticscholar.org/paper/Per-Weight-Class-Based-Learning-Rates-via-Rotman-Wolf/a8451b0b1e0be0a0b17d3f8ee97ffeecf7c37356'],[{'Citations': 0}]
VSE++: Improving Visual-Semantic Embeddings with Hard Negatives,['https://www.semanticscholar.org/paper/VSE%2B%2B%3A-Improving-Visual-Semantic-Embeddings-with-Faghri-Fleet/f7ab6c52be9351ac3f6cf8fe6ad5efba1c1595e8'],[{'Citations': 208}]
Dynamically Learning the Learning Rates:  Online Hyperparameter Optimization,['https://www.semanticscholar.org/paper/Dynamically-Learning-the-Learning-Rates%3A-Online-Sarkar-Anandkumar/9fbc07d9588a302778cbcaac08dc6382eb6b5062'],[{'Citations': 0}]
MULTI-MODAL GEOLOCATION ESTIMATION USING DEEP NEURAL NETWORKS,['https://www.semanticscholar.org/paper/Multi-modal-Geolocation-Estimation-Using-Deep-Johns-Rounds/1fd2655fd69a44bd9ca0d855521247d5620d3f82'],[{'Citations': 1}]
